e p cs2
3.4143e+02 1.6788e-02 3.3320e-01
3.4901e+02 2.5418e+00 3.3320e-01
3.5676e+02 5.1228e+00 3.3320e-01
3.6468e+02 7.7611e+00 3.3321e-01
3.7277e+02 1.0458e+01 3.3321e-01
3.8104e+02 1.3215e+01 3.3321e-01
3.8950e+02 1.6033e+01 3.3321e-01
3.9814e+02 1.8913e+01 3.3321e-01
4.0698e+02 2.1858e+01 3.3321e-01
4.1601e+02 2.4867e+01 3.3322e-01
4.2525e+02 2.7944e+01 3.3322e-01
4.3468e+02 3.1089e+01 3.3322e-01
4.4433e+02 3.4304e+01 3.3322e-01
4.5419e+02 3.7590e+01 3.3322e-01
4.6427e+02 4.0949e+01 3.3322e-01
4.7458e+02 4.4383e+01 3.3322e-01
4.8511e+02 4.7893e+01 3.3323e-01
4.9588e+02 5.1480e+01 3.3323e-01
5.0688e+02 5.5148e+01 3.3323e-01
5.1813e+02 5.8897e+01 3.3323e-01
5.2963e+02 6.2729e+01 3.3323e-01
5.4139e+02 6.6646e+01 3.3323e-01
5.5340e+02 7.0650e+01 3.3323e-01
5.6569e+02 7.4743e+01 3.3324e-01
5.7824e+02 7.8927e+01 3.3324e-01
5.9108e+02 8.3203e+01 3.3324e-01
6.0419e+02 8.7575e+01 3.3324e-01
6.1760e+02 9.2043e+01 3.3324e-01
6.3131e+02 9.6611e+01 3.3324e-01
6.4532e+02 1.0128e+02 3.3324e-01
6.5965e+02 1.0605e+02 3.3324e-01
6.7429e+02 1.1093e+02 3.3325e-01
6.8925e+02 1.1592e+02 3.3325e-01
7.0455e+02 1.2102e+02 3.3325e-01
7.2019e+02 1.2623e+02 3.3325e-01
7.3617e+02 1.3155e+02 3.3325e-01
7.5251e+02 1.3700e+02 3.3325e-01
7.6921e+02 1.4257e+02 3.3325e-01
7.8628e+02 1.4825e+02 3.3325e-01
8.0373e+02 1.5407e+02 3.3325e-01
8.2157e+02 1.6002e+02 3.3325e-01
8.3981e+02 1.6609e+02 3.3326e-01
8.5845e+02 1.7230e+02 3.3326e-01
8.7750e+02 1.7865e+02 3.3326e-01
8.9697e+02 1.8514e+02 3.3326e-01
9.1688e+02 1.9178e+02 3.3326e-01
9.3723e+02 1.9856e+02 3.3326e-01
9.5803e+02 2.0549e+02 3.3326e-01
9.7929e+02 2.1258e+02 3.3326e-01
1.0010e+03 2.1982e+02 3.3326e-01
1.0232e+03 2.2723e+02 3.3326e-01
1.0460e+03 2.3479e+02 3.3326e-01
1.0692e+03 2.4253e+02 3.3327e-01
1.0929e+03 2.5044e+02 3.3327e-01
1.1172e+03 2.5852e+02 3.3327e-01
1.1420e+03 2.6679e+02 3.3327e-01
1.1673e+03 2.7523e+02 3.3327e-01
1.1932e+03 2.8387e+02 3.3327e-01
1.2197e+03 2.9269e+02 3.3327e-01
1.2468e+03 3.0171e+02 3.3327e-01
1.2744e+03 3.1094e+02 3.3327e-01
1.3027e+03 3.2036e+02 3.3327e-01
1.3316e+03 3.3000e+02 3.3327e-01
1.3612e+03 3.3985e+02 3.3327e-01
1.3914e+03 3.4992e+02 3.3327e-01
1.4223e+03 3.6021e+02 3.3327e-01
1.4538e+03 3.7073e+02 3.3328e-01
1.4861e+03 3.8148e+02 3.3328e-01
1.5191e+03 3.9248e+02 3.3328e-01
1.5528e+03 4.0371e+02 3.3328e-01
1.5873e+03 4.1520e+02 3.3328e-01
1.6225e+03 4.2694e+02 3.3328e-01
1.6585e+03 4.3894e+02 3.3328e-01
1.6953e+03 4.5121e+02 3.3328e-01
1.7329e+03 4.6375e+02 3.3328e-01
1.7714e+03 4.7657e+02 3.3328e-01
1.8107e+03 4.8967e+02 3.3328e-01
1.8509e+03 5.0306e+02 3.3328e-01
1.8920e+03 5.1675e+02 3.3328e-01
1.9340e+03 5.3075e+02 3.3328e-01
1.9769e+03 5.4506e+02 3.3328e-01
2.0208e+03 5.5968e+02 3.3328e-01
2.0656e+03 5.7463e+02 3.3329e-01
2.1115e+03 5.8991e+02 3.3329e-01
2.1583e+03 6.0552e+02 3.3329e-01
2.2062e+03 6.2149e+02 3.3329e-01
2.2552e+03 6.3781e+02 3.3329e-01
2.3053e+03 6.5449e+02 3.3329e-01
2.3564e+03 6.7154e+02 3.3329e-01
2.4087e+03 6.8897e+02 3.3329e-01
2.4622e+03 7.0679e+02 3.3329e-01
2.5168e+03 7.2501e+02 3.3329e-01
2.5727e+03 7.4362e+02 3.3329e-01
2.6298e+03 7.6265e+02 3.3329e-01
2.6882e+03 7.8211e+02 3.3329e-01
2.7478e+03 8.0199e+02 3.3329e-01
2.8088e+03 8.2232e+02 3.3329e-01
2.8711e+03 8.4309e+02 3.3329e-01
2.9349e+03 8.6433e+02 3.3329e-01
3.0000e+03 8.8604e+02 3.3329e-01
