e p cs2
1.9430e+02 1.7653e+00 3.3311e-01
1.9980e+02 3.5984e+00 3.3311e-01
2.0546e+02 5.4834e+00 3.3312e-01
2.1128e+02 7.4219e+00 3.3312e-01
2.1726e+02 9.4152e+00 3.3313e-01
2.2342e+02 1.1465e+01 3.3313e-01
2.2975e+02 1.3573e+01 3.3313e-01
2.3625e+02 1.5741e+01 3.3314e-01
2.4294e+02 1.7970e+01 3.3314e-01
2.4982e+02 2.0262e+01 3.3314e-01
2.5690e+02 2.2619e+01 3.3315e-01
2.6417e+02 2.5043e+01 3.3315e-01
2.7166e+02 2.7536e+01 3.3315e-01
2.7935e+02 3.0099e+01 3.3316e-01
2.8726e+02 3.2735e+01 3.3316e-01
2.9540e+02 3.5445e+01 3.3316e-01
3.0376e+02 3.8233e+01 3.3316e-01
3.1237e+02 4.1099e+01 3.3317e-01
3.2121e+02 4.4046e+01 3.3317e-01
3.3031e+02 4.7077e+01 3.3317e-01
3.3967e+02 5.0194e+01 3.3318e-01
3.4929e+02 5.3399e+01 3.3318e-01
3.5918e+02 5.6695e+01 3.3318e-01
3.6935e+02 6.0085e+01 3.3318e-01
3.7981e+02 6.3570e+01 3.3318e-01
3.9057e+02 6.7154e+01 3.3319e-01
4.0163e+02 7.0840e+01 3.3319e-01
4.1301e+02 7.4630e+01 3.3319e-01
4.2470e+02 7.8527e+01 3.3319e-01
4.3673e+02 8.2535e+01 3.3320e-01
4.4910e+02 8.6656e+01 3.3320e-01
4.6182e+02 9.0894e+01 3.3320e-01
4.7490e+02 9.5253e+01 3.3320e-01
4.8835e+02 9.9734e+01 3.3320e-01
5.0218e+02 1.0434e+02 3.3321e-01
5.1640e+02 1.0908e+02 3.3321e-01
5.3103e+02 1.1396e+02 3.3321e-01
5.4607e+02 1.1897e+02 3.3321e-01
5.6153e+02 1.2412e+02 3.3321e-01
5.7744e+02 1.2942e+02 3.3322e-01
5.9379e+02 1.3487e+02 3.3322e-01
6.1061e+02 1.4047e+02 3.3322e-01
6.2790e+02 1.4624e+02 3.3322e-01
6.4569e+02 1.5216e+02 3.3322e-01
6.6397e+02 1.5825e+02 3.3322e-01
6.8278e+02 1.6452e+02 3.3323e-01
7.0212e+02 1.7096e+02 3.3323e-01
7.2200e+02 1.7759e+02 3.3323e-01
7.4245e+02 1.8441e+02 3.3323e-01
7.6348e+02 1.9141e+02 3.3323e-01
7.8510e+02 1.9862e+02 3.3323e-01
8.0734e+02 2.0603e+02 3.3324e-01
8.3020e+02 2.1365e+02 3.3324e-01
8.5371e+02 2.2148e+02 3.3324e-01
8.7789e+02 2.2954e+02 3.3324e-01
9.0276e+02 2.3783e+02 3.3324e-01
9.2832e+02 2.4635e+02 3.3324e-01
9.5462e+02 2.5511e+02 3.3324e-01
9.8165e+02 2.6412e+02 3.3324e-01
1.0095e+03 2.7338e+02 3.3325e-01
1.0380e+03 2.8291e+02 3.3325e-01
1.0674e+03 2.9271e+02 3.3325e-01
1.0977e+03 3.0278e+02 3.3325e-01
1.1288e+03 3.1314e+02 3.3325e-01
1.1607e+03 3.2380e+02 3.3325e-01
1.1936e+03 3.3475e+02 3.3325e-01
1.2274e+03 3.4602e+02 3.3325e-01
1.2622e+03 3.5760e+02 3.3326e-01
1.2979e+03 3.6951e+02 3.3326e-01
1.3347e+03 3.8176e+02 3.3326e-01
1.3725e+03 3.9436e+02 3.3326e-01
1.4114e+03 4.0732e+02 3.3326e-01
1.4513e+03 4.2064e+02 3.3326e-01
1.4924e+03 4.3434e+02 3.3326e-01
1.5347e+03 4.4842e+02 3.3326e-01
1.5782e+03 4.6291e+02 3.3326e-01
1.6229e+03 4.7780e+02 3.3327e-01
1.6688e+03 4.9312e+02 3.3327e-01
1.7161e+03 5.0887e+02 3.3327e-01
1.7647e+03 5.2507e+02 3.3327e-01
1.8147e+03 5.4173e+02 3.3327e-01
1.8661e+03 5.5886e+02 3.3327e-01
1.9189e+03 5.7647e+02 3.3327e-01
1.9733e+03 5.9458e+02 3.3327e-01
2.0292e+03 6.1321e+02 3.3327e-01
2.0866e+03 6.3236e+02 3.3327e-01
2.1457e+03 6.5206e+02 3.3327e-01
2.2065e+03 6.7231e+02 3.3328e-01
2.2690e+03 6.9314e+02 3.3328e-01
2.3332e+03 7.1455e+02 3.3328e-01
2.3993e+03 7.3658e+02 3.3328e-01
2.4673e+03 7.5922e+02 3.3328e-01
2.5372e+03 7.8251e+02 3.3328e-01
2.6090e+03 8.0646e+02 3.3328e-01
2.6829e+03 8.3109e+02 3.3328e-01
2.7589e+03 8.5641e+02 3.3328e-01
2.8370e+03 8.8245e+02 3.3328e-01
2.9174e+03 9.0923e+02 3.3328e-01
3.0000e+03 9.3677e+02 3.3328e-01
