 e p cs2
0 1.01000e+00 1.33536e-01 4.31622e-01
1 1.09309e+00 1.69191e-01 4.26753e-01
2 1.18301e+00 2.07358e-01 4.22222e-01
3 1.28033e+00 2.48238e-01 4.17991e-01
4 1.38566e+00 2.92050e-01 4.14030e-01
5 1.49965e+00 3.39029e-01 4.10313e-01
6 1.62302e+00 3.89428e-01 4.06817e-01
7 1.75654e+00 4.43521e-01 4.03523e-01
8 1.90104e+00 5.01601e-01 4.00414e-01
9 2.05743e+00 5.63986e-01 3.97474e-01
10 2.22669e+00 6.31020e-01 3.94691e-01
11 2.40986e+00 7.03072e-01 3.92052e-01
12 2.60811e+00 7.80542e-01 3.89548e-01
13 2.82267e+00 8.63862e-01 3.87169e-01
14 3.05488e+00 9.53497e-01 3.84906e-01
15 3.30619e+00 1.04995e+00 3.82753e-01
16 3.57817e+00 1.15377e+00 3.80701e-01
17 3.87253e+00 1.26554e+00 3.78745e-01
18 4.19111e+00 1.38589e+00 3.76879e-01
19 4.53589e+00 1.51552e+00 3.75098e-01
20 4.90904e+00 1.65516e+00 3.73397e-01
21 5.31288e+00 1.80562e+00 3.71771e-01
22 5.74995e+00 1.96777e+00 3.70217e-01
23 6.22297e+00 2.14253e+00 3.68731e-01
24 6.73490e+00 2.33092e+00 3.67309e-01
25 7.28895e+00 2.53404e+00 3.65948e-01
26 7.88858e+00 2.75308e+00 3.64644e-01
27 8.53754e+00 2.98930e+00 3.63396e-01
28 9.23988e+00 3.24410e+00 3.62200e-01
29 1.00000e+01 3.51898e+00 3.61054e-01
