p e cs2 gamma
7.7697429e+01 4.3889224e+02 3.1985536e-01 2.1266337e+00
7.8996312e+01 4.4295265e+02 3.1992397e-01 2.1138200e+00
8.0307491e+01 4.4705062e+02 3.1999216e-01 2.1013041e+00
8.1631083e+01 4.5118650e+02 3.2005995e-01 2.0890764e+00
8.2967201e+01 4.5536064e+02 3.2012732e-01 2.0771274e+00
8.4315963e+01 4.5957341e+02 3.2019428e-01 2.0654483e+00
8.5677488e+01 4.6382514e+02 3.2026085e-01 2.0540306e+00
8.7051893e+01 4.6811621e+02 3.2032701e-01 2.0428659e+00
8.8439299e+01 4.7244698e+02 3.2039278e-01 2.0319464e+00
8.9839827e+01 4.7681782e+02 3.2045815e-01 2.0212646e+00
9.1253600e+01 4.8122909e+02 3.2052313e-01 2.0108132e+00
9.2680741e+01 4.8568118e+02 3.2058773e-01 2.0005854e+00
9.4121374e+01 4.9017445e+02 3.2065195e-01 1.9905744e+00
9.5575625e+01 4.9470929e+02 3.2071578e-01 1.9807737e+00
9.7043622e+01 4.9928609e+02 3.2077924e-01 1.9711774e+00
9.8525493e+01 5.0390522e+02 3.2084232e-01 1.9617793e+00
1.0002137e+02 5.0856710e+02 3.2090504e-01 1.9525738e+00
1.0153137e+02 5.1327210e+02 3.2096738e-01 1.9435555e+00
1.0305564e+02 5.1802063e+02 3.2102936e-01 1.9347191e+00
1.0459431e+02 5.2281309e+02 3.2109098e-01 1.9260594e+00
1.0614751e+02 5.2764988e+02 3.2115224e-01 1.9175715e+00
1.0771538e+02 5.3253143e+02 3.2121314e-01 1.9092509e+00
1.0929806e+02 5.3745813e+02 3.2127369e-01 1.9010928e+00
1.1089567e+02 5.4243042e+02 3.2133389e-01 1.8930929e+00
1.1250837e+02 5.4744871e+02 3.2139374e-01 1.8852471e+00
1.1413629e+02 5.5251342e+02 3.2145324e-01 1.8775511e+00
1.1577957e+02 5.5762499e+02 3.2151240e-01 1.8700011e+00
1.1743836e+02 5.6278385e+02 3.2157123e-01 1.8625932e+00
1.1911280e+02 5.6799044e+02 3.2162971e-01 1.8553238e+00
1.2080304e+02 5.7324519e+02 3.2168786e-01 1.8481893e+00
1.2250922e+02 5.7854856e+02 3.2174568e-01 1.8411863e+00
1.2423150e+02 5.8390099e+02 3.2180317e-01 1.8343115e+00
1.2597002e+02 5.8930294e+02 3.2186033e-01 1.8275617e+00
1.2772494e+02 5.9475487e+02 3.2191716e-01 1.8209338e+00
1.2949640e+02 6.0025724e+02 3.2197368e-01 1.8144247e+00
1.3128456e+02 6.0581051e+02 3.2202987e-01 1.8080315e+00
1.3308959e+02 6.1141515e+02 3.2208575e-01 1.8017516e+00
1.3491162e+02 6.1707165e+02 3.2214131e-01 1.7955820e+00
1.3675083e+02 6.2278048e+02 3.2219656e-01 1.7895202e+00
1.3860737e+02 6.2854213e+02 3.2225150e-01 1.7835637e+00
1.4048141e+02 6.3435707e+02 3.2230613e-01 1.7777099e+00
1.4237310e+02 6.4022582e+02 3.2236046e-01 1.7719565e+00
1.4428262e+02 6.4614886e+02 3.2241448e-01 1.7663012e+00
1.4621012e+02 6.5212669e+02 3.2246820e-01 1.7607416e+00
1.4815578e+02 6.5815984e+02 3.2252162e-01 1.7552756e+00
1.5011976e+02 6.6424879e+02 3.2257475e-01 1.7499011e+00
1.5210224e+02 6.7039408e+02 3.2262758e-01 1.7446160e+00
1.5410338e+02 6.7659622e+02 3.2268012e-01 1.7394183e+00
1.5612337e+02 6.8285574e+02 3.2273236e-01 1.7343061e+00
1.5816237e+02 6.8917317e+02 3.2278432e-01 1.7292775e+00
1.6022057e+02 6.9554904e+02 3.2283600e-01 1.7243306e+00
1.6229814e+02 7.0198391e+02 3.2288738e-01 1.7194637e+00
1.6439527e+02 7.0847830e+02 3.2293849e-01 1.7146751e+00
1.6651213e+02 7.1503278e+02 3.2298931e-01 1.7099630e+00
1.6864891e+02 7.2164789e+02 3.2303986e-01 1.7053259e+00
1.7080579e+02 7.2832420e+02 3.2309013e-01 1.7007621e+00
1.7298297e+02 7.3506229e+02 3.2314013e-01 1.6962702e+00
1.7518063e+02 7.4186270e+02 3.2318985e-01 1.6918486e+00
1.7739896e+02 7.4872603e+02 3.2323931e-01 1.6874958e+00
1.7963815e+02 7.5565286e+02 3.2328849e-01 1.6832105e+00
1.8189841e+02 7.6264377e+02 3.2333741e-01 1.6789912e+00
1.8417992e+02 7.6969936e+02 3.2338606e-01 1.6748366e+00
1.8648288e+02 7.7682022e+02 3.2343445e-01 1.6707454e+00
1.8880749e+02 7.8400696e+02 3.2348258e-01 1.6667163e+00
1.9115396e+02 7.9126019e+02 3.2353045e-01 1.6627481e+00
1.9352248e+02 7.9858052e+02 3.2357806e-01 1.6588396e+00
1.9591327e+02 8.0596858e+02 3.2362541e-01 1.6549896e+00
1.9832653e+02 8.1342499e+02 3.2367251e-01 1.6511969e+00
2.0076247e+02 8.2095037e+02 3.2371936e-01 1.6474604e+00
2.0322130e+02 8.2854538e+02 3.2376596e-01 1.6437791e+00
2.0570324e+02 8.3621066e+02 3.2381230e-01 1.6401518e+00
2.0820849e+02 8.4394685e+02 3.2385840e-01 1.6365776e+00
