 e p cs2
0 1.01000e+00 3.06244e-01 6.17587e-01
1 1.09309e+00 3.57052e-01 6.05668e-01
2 1.18301e+00 4.10995e-01 5.94319e-01
3 1.28033e+00 4.68297e-01 5.83505e-01
4 1.38566e+00 5.29201e-01 5.73193e-01
5 1.49965e+00 5.93968e-01 5.63353e-01
6 1.62302e+00 6.62877e-01 5.53959e-01
7 1.75654e+00 7.36229e-01 5.44986e-01
8 1.90104e+00 8.14348e-01 5.36409e-01
9 2.05743e+00 8.97582e-01 5.28209e-01
10 2.22669e+00 9.86307e-01 5.20364e-01
11 2.40986e+00 1.08093e+00 5.12858e-01
12 2.60811e+00 1.18187e+00 5.05672e-01
13 2.82267e+00 1.28961e+00 4.98791e-01
14 3.05488e+00 1.40466e+00 4.92199e-01
15 3.30619e+00 1.52754e+00 4.85884e-01
16 3.57817e+00 1.65885e+00 4.79832e-01
17 3.87253e+00 1.79923e+00 4.74030e-01
18 4.19111e+00 1.94934e+00 4.68467e-01
19 4.53589e+00 2.10992e+00 4.63132e-01
20 4.90904e+00 2.28176e+00 4.58015e-01
21 5.31288e+00 2.46572e+00 4.53107e-01
22 5.74995e+00 2.66270e+00 4.48397e-01
23 6.22297e+00 2.87371e+00 4.43877e-01
24 6.73490e+00 3.09982e+00 4.39539e-01
25 7.28895e+00 3.34217e+00 4.35376e-01
26 7.88858e+00 3.60201e+00 4.31379e-01
27 8.53754e+00 3.88068e+00 4.27542e-01
28 9.23988e+00 4.17965e+00 4.23858e-01
29 1.00000e+01 4.50046e+00 4.20320e-01
