 e p cs2
0 1.01000e+00 5.07181e-01 9.92623e-01
1 1.09309e+00 5.89623e-01 9.91832e-01
2 1.18301e+00 6.78774e-01 9.90978e-01
3 1.28033e+00 7.75172e-01 9.90058e-01
4 1.38566e+00 8.79399e-01 9.89066e-01
5 1.49965e+00 9.92084e-01 9.87998e-01
6 1.62302e+00 1.11390e+00 9.86848e-01
7 1.75654e+00 1.24558e+00 9.85611e-01
8 1.90104e+00 1.38791e+00 9.84279e-01
9 2.05743e+00 1.54173e+00 9.82847e-01
10 2.22669e+00 1.70795e+00 9.81308e-01
11 2.40986e+00 1.88755e+00 9.79654e-01
12 2.60811e+00 2.08159e+00 9.77878e-01
13 2.82267e+00 2.29120e+00 9.75973e-01
14 3.05488e+00 2.51759e+00 9.73930e-01
15 3.30619e+00 2.76207e+00 9.71741e-01
16 3.57817e+00 3.02605e+00 9.69396e-01
17 3.87253e+00 3.31103e+00 9.66888e-01
18 4.19111e+00 3.61863e+00 9.64207e-01
19 4.53589e+00 3.95058e+00 9.61343e-01
20 4.90904e+00 4.30873e+00 9.58286e-01
21 5.31288e+00 4.69506e+00 9.55029e-01
22 5.74995e+00 5.11171e+00 9.51560e-01
23 6.22297e+00 5.56095e+00 9.47870e-01
24 6.73490e+00 6.04519e+00 9.43950e-01
25 7.28895e+00 6.56703e+00 9.39791e-01
26 7.88858e+00 7.12923e+00 9.35385e-01
27 8.53754e+00 7.73473e+00 9.30722e-01
28 9.23988e+00 8.38668e+00 9.25796e-01
29 1.00000e+01 9.08841e+00 9.20600e-01
