e p cs2
2.3635e+02 2.0017e+00 3.3313e-01
2.4256e+02 4.0699e+00 3.3313e-01
2.4893e+02 6.1925e+00 3.3314e-01
2.5547e+02 8.3709e+00 3.3314e-01
2.6218e+02 1.0607e+01 3.3314e-01
2.6907e+02 1.2901e+01 3.3315e-01
2.7614e+02 1.5256e+01 3.3315e-01
2.8339e+02 1.7672e+01 3.3315e-01
2.9083e+02 2.0152e+01 3.3316e-01
2.9847e+02 2.2697e+01 3.3316e-01
3.0631e+02 2.5310e+01 3.3316e-01
3.1436e+02 2.7990e+01 3.3316e-01
3.2262e+02 3.0741e+01 3.3317e-01
3.3109e+02 3.3565e+01 3.3317e-01
3.3979e+02 3.6463e+01 3.3317e-01
3.4872e+02 3.9436e+01 3.3317e-01
3.5788e+02 4.2488e+01 3.3318e-01
3.6728e+02 4.5620e+01 3.3318e-01
3.7692e+02 4.8835e+01 3.3318e-01
3.8683e+02 5.2134e+01 3.3318e-01
3.9699e+02 5.5519e+01 3.3319e-01
4.0741e+02 5.8994e+01 3.3319e-01
4.1812e+02 6.2560e+01 3.3319e-01
4.2910e+02 6.6219e+01 3.3319e-01
4.4037e+02 6.9975e+01 3.3320e-01
4.5194e+02 7.3829e+01 3.3320e-01
4.6381e+02 7.7785e+01 3.3320e-01
4.7599e+02 8.1844e+01 3.3320e-01
4.8850e+02 8.6010e+01 3.3320e-01
5.0133e+02 9.0286e+01 3.3320e-01
5.1450e+02 9.4674e+01 3.3321e-01
5.2801e+02 9.9177e+01 3.3321e-01
5.4188e+02 1.0380e+02 3.3321e-01
5.5612e+02 1.0854e+02 3.3321e-01
5.7073e+02 1.1341e+02 3.3321e-01
5.8572e+02 1.1840e+02 3.3322e-01
6.0110e+02 1.2353e+02 3.3322e-01
6.1689e+02 1.2879e+02 3.3322e-01
6.3310e+02 1.3419e+02 3.3322e-01
6.4973e+02 1.3973e+02 3.3322e-01
6.6680e+02 1.4542e+02 3.3322e-01
6.8431e+02 1.5126e+02 3.3323e-01
7.0229e+02 1.5725e+02 3.3323e-01
7.2073e+02 1.6340e+02 3.3323e-01
7.3967e+02 1.6970e+02 3.3323e-01
7.5910e+02 1.7618e+02 3.3323e-01
7.7904e+02 1.8282e+02 3.3323e-01
7.9950e+02 1.8964e+02 3.3323e-01
8.2050e+02 1.9664e+02 3.3324e-01
8.4205e+02 2.0382e+02 3.3324e-01
8.6417e+02 2.1119e+02 3.3324e-01
8.8687e+02 2.1876e+02 3.3324e-01
9.1017e+02 2.2652e+02 3.3324e-01
9.3408e+02 2.3449e+02 3.3324e-01
9.5862e+02 2.4267e+02 3.3324e-01
9.8380e+02 2.5106e+02 3.3324e-01
1.0096e+03 2.5967e+02 3.3325e-01
1.0362e+03 2.6851e+02 3.3325e-01
1.0634e+03 2.7758e+02 3.3325e-01
1.0913e+03 2.8689e+02 3.3325e-01
1.1200e+03 2.9644e+02 3.3325e-01
1.1494e+03 3.0624e+02 3.3325e-01
1.1796e+03 3.1631e+02 3.3325e-01
1.2106e+03 3.2663e+02 3.3325e-01
1.2424e+03 3.3723e+02 3.3325e-01
1.2750e+03 3.4810e+02 3.3326e-01
1.3085e+03 3.5927e+02 3.3326e-01
1.3429e+03 3.7072e+02 3.3326e-01
1.3781e+03 3.8248e+02 3.3326e-01
1.4144e+03 3.9454e+02 3.3326e-01
1.4515e+03 4.0692e+02 3.3326e-01
1.4896e+03 4.1963e+02 3.3326e-01
1.5288e+03 4.3267e+02 3.3326e-01
1.5689e+03 4.4605e+02 3.3326e-01
1.6101e+03 4.5979e+02 3.3326e-01
1.6524e+03 4.7388e+02 3.3327e-01
1.6958e+03 4.8835e+02 3.3327e-01
1.7404e+03 5.0319e+02 3.3327e-01
1.7861e+03 5.1843e+02 3.3327e-01
1.8330e+03 5.3407e+02 3.3327e-01
1.8812e+03 5.5011e+02 3.3327e-01
1.9306e+03 5.6658e+02 3.3327e-01
1.9813e+03 5.8348e+02 3.3327e-01
2.0333e+03 6.0083e+02 3.3327e-01
2.0867e+03 6.1863e+02 3.3327e-01
2.1416e+03 6.3690e+02 3.3327e-01
2.1978e+03 6.5564e+02 3.3327e-01
2.2555e+03 6.7489e+02 3.3328e-01
2.3148e+03 6.9463e+02 3.3328e-01
2.3756e+03 7.1490e+02 3.3328e-01
2.4380e+03 7.3569e+02 3.3328e-01
2.5020e+03 7.5704e+02 3.3328e-01
2.5678e+03 7.7894e+02 3.3328e-01
2.6352e+03 8.0142e+02 3.3328e-01
2.7044e+03 8.2449e+02 3.3328e-01
2.7755e+03 8.4817e+02 3.3328e-01
2.8484e+03 8.7247e+02 3.3328e-01
2.9232e+03 8.9740e+02 3.3328e-01
3.0000e+03 9.2300e+02 3.3328e-01
