 e p cs2
0 1.01000e+00 3.33547e-03 3.33335e-01
1 1.09309e+00 3.10316e-02 3.33335e-01
2 1.18301e+00 6.10061e-02 3.33335e-01
3 1.28033e+00 9.34465e-02 3.33335e-01
4 1.38566e+00 1.28556e-01 3.33334e-01
5 1.49965e+00 1.66553e-01 3.33334e-01
6 1.62302e+00 2.07676e-01 3.33334e-01
7 1.75654e+00 2.52182e-01 3.33334e-01
8 1.90104e+00 3.00350e-01 3.33334e-01
9 2.05743e+00 3.52480e-01 3.33334e-01
10 2.22669e+00 4.08899e-01 3.33334e-01
11 2.40986e+00 4.69958e-01 3.33334e-01
12 2.60811e+00 5.36041e-01 3.33334e-01
13 2.82267e+00 6.07561e-01 3.33334e-01
14 3.05488e+00 6.84963e-01 3.33334e-01
15 3.30619e+00 7.68734e-01 3.33334e-01
16 3.57817e+00 8.59395e-01 3.33334e-01
17 3.87253e+00 9.57515e-01 3.33334e-01
18 4.19111e+00 1.06371e+00 3.33334e-01
19 4.53589e+00 1.17864e+00 3.33334e-01
20 4.90904e+00 1.30302e+00 3.33334e-01
21 5.31288e+00 1.43763e+00 3.33334e-01
22 5.74995e+00 1.58332e+00 3.33334e-01
23 6.22297e+00 1.74100e+00 3.33334e-01
24 6.73490e+00 1.91164e+00 3.33334e-01
25 7.28895e+00 2.09632e+00 3.33334e-01
26 7.88858e+00 2.29620e+00 3.33334e-01
27 8.53754e+00 2.51252e+00 3.33334e-01
28 9.23988e+00 2.74663e+00 3.33334e-01
29 1.00000e+01 3.00001e+00 3.33334e-01
