 e p cs2
0 1.01000e+00 1.76613e-01 4.70848e-01
1 1.09309e+00 2.15451e-01 4.64171e-01
2 1.18301e+00 2.56903e-01 4.57938e-01
3 1.28033e+00 3.01180e-01 4.52103e-01
4 1.38566e+00 3.48503e-01 4.46628e-01
5 1.49965e+00 3.99115e-01 4.41480e-01
6 1.62302e+00 4.53274e-01 4.36629e-01
7 1.75654e+00 5.11259e-01 4.32051e-01
8 1.90104e+00 5.73372e-01 4.27723e-01
9 2.05743e+00 6.39936e-01 4.23625e-01
10 2.22669e+00 7.11300e-01 4.19741e-01
11 2.40986e+00 7.87843e-01 4.16054e-01
12 2.60811e+00 8.69970e-01 4.12552e-01
13 2.82267e+00 9.58121e-01 4.09222e-01
14 3.05488e+00 1.05277e+00 4.06051e-01
15 3.30619e+00 1.15443e+00 4.03032e-01
16 3.57817e+00 1.26365e+00 4.00153e-01
17 3.87253e+00 1.38102e+00 3.97407e-01
18 4.19111e+00 1.50720e+00 3.94785e-01
19 4.53589e+00 1.64287e+00 3.92282e-01
20 4.90904e+00 1.78880e+00 3.89890e-01
21 5.31288e+00 1.94578e+00 3.87603e-01
22 5.74995e+00 2.11470e+00 3.85416e-01
23 6.22297e+00 2.29651e+00 3.83323e-01
24 6.73490e+00 2.49222e+00 3.81320e-01
25 7.28895e+00 2.70295e+00 3.79402e-01
26 7.88858e+00 2.92988e+00 3.77565e-01
27 8.53754e+00 3.17432e+00 3.75805e-01
28 9.23988e+00 3.43766e+00 3.74119e-01
29 1.00000e+01 3.72141e+00 3.72503e-01
