 e p cs2
0 1.01000e+00 3.64870e-01 7.03118e-01
1 1.09309e+00 4.22730e-01 6.89871e-01
2 1.18301e+00 4.84178e-01 6.77025e-01
3 1.28033e+00 5.49449e-01 6.64574e-01
4 1.38566e+00 6.18800e-01 6.52515e-01
5 1.49965e+00 6.92503e-01 6.40842e-01
6 1.62302e+00 7.70854e-01 6.29546e-01
7 1.75654e+00 8.54167e-01 6.18623e-01
8 1.90104e+00 9.42782e-01 6.08063e-01
9 2.05743e+00 1.03706e+00 5.97859e-01
10 2.22669e+00 1.13740e+00 5.88003e-01
11 2.40986e+00 1.24423e+00 5.78486e-01
12 2.60811e+00 1.35798e+00 5.69300e-01
13 2.82267e+00 1.47916e+00 5.60436e-01
14 3.05488e+00 1.60829e+00 5.51884e-01
15 3.30619e+00 1.74592e+00 5.43637e-01
16 3.57817e+00 1.89268e+00 5.35685e-01
17 3.87253e+00 2.04922e+00 5.28020e-01
18 4.19111e+00 2.21623e+00 5.20632e-01
19 4.53589e+00 2.39449e+00 5.13513e-01
20 4.90904e+00 2.58480e+00 5.06655e-01
21 5.31288e+00 2.78805e+00 5.00049e-01
22 5.74995e+00 3.00518e+00 4.93687e-01
23 6.22297e+00 3.23723e+00 4.87560e-01
24 6.73490e+00 3.48529e+00 4.81661e-01
25 7.28895e+00 3.75055e+00 4.75982e-01
26 7.88858e+00 4.03429e+00 4.70515e-01
27 8.53754e+00 4.33789e+00 4.65254e-01
28 9.23988e+00 4.66285e+00 4.60190e-01
29 1.00000e+01 5.01076e+00 4.55317e-01
