 e p cs2
0 1.01000e+00 6.65316e-02 3.77677e-01
1 1.09309e+00 9.78169e-02 3.75444e-01
2 1.18301e+00 1.31482e-01 3.73371e-01
3 1.28033e+00 1.67723e-01 3.71440e-01
4 1.38566e+00 2.06748e-01 3.69635e-01
5 1.49965e+00 2.48785e-01 3.67945e-01
6 1.62302e+00 2.94078e-01 3.66357e-01
7 1.75654e+00 3.42891e-01 3.64863e-01
8 1.90104e+00 3.95510e-01 3.63455e-01
9 2.05743e+00 4.52245e-01 3.62125e-01
10 2.22669e+00 5.13427e-01 3.60867e-01
11 2.40986e+00 5.79419e-01 3.59675e-01
12 2.60811e+00 6.50610e-01 3.58545e-01
13 2.82267e+00 7.27420e-01 3.57472e-01
14 3.05488e+00 8.10307e-01 3.56453e-01
15 3.30619e+00 8.99763e-01 3.55483e-01
16 3.57817e+00 9.96321e-01 3.54560e-01
17 3.87253e+00 1.10056e+00 3.53680e-01
18 4.19111e+00 1.21309e+00 3.52841e-01
19 4.53589e+00 1.33461e+00 3.52040e-01
20 4.90904e+00 1.46582e+00 3.51276e-01
21 5.31288e+00 1.60753e+00 3.50546e-01
22 5.74995e+00 1.76059e+00 3.49849e-01
23 6.22297e+00 1.92591e+00 3.49182e-01
24 6.73490e+00 2.10451e+00 3.48543e-01
25 7.28895e+00 2.29744e+00 3.47933e-01
26 7.88858e+00 2.50590e+00 3.47348e-01
27 8.53754e+00 2.73112e+00 3.46789e-01
28 9.23988e+00 2.97450e+00 3.46253e-01
29 1.00000e+01 3.23749e+00 3.45739e-01
