p e cs2 p_norm muB X n gamma
3.0790000e+02 1.2700000e+03 2.9440000e-01 5.2860000e-01 1.4770000e+03 2.9000000e+00 8.1936000e-03 1.5087163e+00
3.1170000e+02 1.2820000e+03 2.9450000e-01 5.3000000e-01 1.4810000e+03 2.9000000e+00 8.2592000e-03 1.5057576e+00
3.1550000e+02 1.2950000e+03 2.9460000e-01 5.3140000e-01 1.4850000e+03 2.9000000e+00 8.3264000e-03 1.5038139e+00
3.1940000e+02 1.3090000e+03 2.9480000e-01 5.3280000e-01 1.4880000e+03 2.9000000e+00 8.3952000e-03 1.5029816e+00
3.2330000e+02 1.3220000e+03 2.9490000e-01 5.3420000e-01 1.4920000e+03 2.9000000e+00 8.4624000e-03 1.5007701e+00
3.2730000e+02 1.3350000e+03 2.9500000e-01 5.3560000e-01 1.4950000e+03 2.9000000e+00 8.5312000e-03 1.4982539e+00
3.3130000e+02 1.3490000e+03 2.9510000e-01 5.3700000e-01 1.4990000e+03 2.9000000e+00 8.6016000e-03 1.4966995e+00
3.3530000e+02 1.3620000e+03 2.9530000e-01 5.3830000e-01 1.5020000e+03 2.9000000e+00 8.6704000e-03 1.4948186e+00
3.3940000e+02 1.3760000e+03 2.9540000e-01 5.3970000e-01 1.5060000e+03 2.9000000e+00 8.7408000e-03 1.4930146e+00
3.4350000e+02 1.3900000e+03 2.9550000e-01 5.4110000e-01 1.5100000e+03 2.9000000e+00 8.8128000e-03 1.4912642e+00
3.4770000e+02 1.4040000e+03 2.9560000e-01 5.4240000e-01 1.5130000e+03 2.9000000e+00 8.8848000e-03 1.4892221e+00
3.5190000e+02 1.4190000e+03 2.9580000e-01 5.4370000e-01 1.5170000e+03 2.9000000e+00 8.9568000e-03 1.4885826e+00
3.5610000e+02 1.4330000e+03 2.9590000e-01 5.4510000e-01 1.5200000e+03 2.9000000e+00 9.0288000e-03 1.4866461e+00
3.6040000e+02 1.4470000e+03 2.9600000e-01 5.4640000e-01 1.5240000e+03 2.9000000e+00 9.1024000e-03 1.4844351e+00
3.6480000e+02 1.4620000e+03 2.9610000e-01 5.4770000e-01 1.5280000e+03 2.9000000e+00 9.1760000e-03 1.4827727e+00
3.6920000e+02 1.4770000e+03 2.9630000e-01 5.4900000e-01 1.5310000e+03 2.9000000e+00 9.2496000e-03 1.4816605e+00
3.7360000e+02 1.4920000e+03 2.9640000e-01 5.5040000e-01 1.5350000e+03 2.9000000e+00 9.3248000e-03 1.4800959e+00
3.7810000e+02 1.5070000e+03 2.9650000e-01 5.5170000e-01 1.5390000e+03 2.9000000e+00 9.4000000e-03 1.4782654e+00
3.8260000e+02 1.5220000e+03 2.9660000e-01 5.5300000e-01 1.5420000e+03 2.9000000e+00 9.4768000e-03 1.4764881e+00
3.8720000e+02 1.5380000e+03 2.9680000e-01 5.5420000e-01 1.5460000e+03 2.9000000e+00 9.5536000e-03 1.4757215e+00
3.9180000e+02 1.5530000e+03 2.9690000e-01 5.5550000e-01 1.5500000e+03 2.9000000e+00 9.6304000e-03 1.4737395e+00
3.9650000e+02 1.5690000e+03 2.9700000e-01 5.5680000e-01 1.5530000e+03 2.9000000e+00 9.7088000e-03 1.4722661e+00
4.0120000e+02 1.5850000e+03 2.9710000e-01 5.5810000e-01 1.5570000e+03 2.9000000e+00 9.7872000e-03 1.4708375e+00
4.0600000e+02 1.6010000e+03 2.9720000e-01 5.5930000e-01 1.5610000e+03 2.9000000e+00 9.8656000e-03 1.4691635e+00
4.1080000e+02 1.6170000e+03 2.9740000e-01 5.6060000e-01 1.5650000e+03 2.9000000e+00 9.9456000e-03 1.4680324e+00
4.1570000e+02 1.6340000e+03 2.9750000e-01 5.6190000e-01 1.5680000e+03 2.9000000e+00 1.0025600e-02 1.4668890e+00
4.2060000e+02 1.6500000e+03 2.9760000e-01 5.6310000e-01 1.5720000e+03 2.9000000e+00 1.0105600e-02 1.4650750e+00
4.2560000e+02 1.6670000e+03 2.9770000e-01 5.6430000e-01 1.5760000e+03 2.9000000e+00 1.0187200e-02 1.4637383e+00
4.3060000e+02 1.6840000e+03 2.9780000e-01 5.6560000e-01 1.5800000e+03 2.9000000e+00 1.0270400e-02 1.4624428e+00
4.3570000e+02 1.7010000e+03 2.9800000e-01 5.6680000e-01 1.5830000e+03 2.9000000e+00 1.0352000e-02 1.4614106e+00
4.4080000e+02 1.7180000e+03 2.9810000e-01 5.6800000e-01 1.5870000e+03 2.9000000e+00 1.0435200e-02 1.4599326e+00
4.4600000e+02 1.7350000e+03 2.9820000e-01 5.6920000e-01 1.5910000e+03 2.9000000e+00 1.0520000e-02 1.4582381e+00
4.5120000e+02 1.7530000e+03 2.9830000e-01 5.7040000e-01 1.5950000e+03 2.9000000e+00 1.0604800e-02 1.4572537e+00
4.5650000e+02 1.7710000e+03 2.9840000e-01 5.7160000e-01 1.5990000e+03 2.9000000e+00 1.0689600e-02 1.4560482e+00
4.6190000e+02 1.7890000e+03 2.9850000e-01 5.7280000e-01 1.6020000e+03 2.9000000e+00 1.0776000e-02 1.4546301e+00
4.6730000e+02 1.8070000e+03 2.9870000e-01 5.7400000e-01 1.6060000e+03 2.9000000e+00 1.0862400e-02 1.4537415e+00
4.7270000e+02 1.8250000e+03 2.9880000e-01 5.7520000e-01 1.6100000e+03 2.9000000e+00 1.0948800e-02 1.4524069e+00
4.7820000e+02 1.8430000e+03 2.9890000e-01 5.7640000e-01 1.6140000e+03 2.9000000e+00 1.1036800e-02 1.4508714e+00
4.8380000e+02 1.8620000e+03 2.9900000e-01 5.7760000e-01 1.6180000e+03 2.9000000e+00 1.1126400e-02 1.4497606e+00
4.8950000e+02 1.8810000e+03 2.9910000e-01 5.7870000e-01 1.6220000e+03 2.9000000e+00 1.1214400e-02 1.4484506e+00
4.9510000e+02 1.9000000e+03 2.9920000e-01 5.7990000e-01 1.6260000e+03 2.9000000e+00 1.1305600e-02 1.4474125e+00
5.0090000e+02 1.9190000e+03 2.9940000e-01 5.8110000e-01 1.6300000e+03 2.9000000e+00 1.1395200e-02 1.4464325e+00
5.0670000e+02 1.9390000e+03 2.9950000e-01 5.8220000e-01 1.6330000e+03 2.9000000e+00 1.1486400e-02 1.4456032e+00
5.1260000e+02 1.9580000e+03 2.9960000e-01 5.8340000e-01 1.6370000e+03 2.9000000e+00 1.1579200e-02 1.4439948e+00
5.1850000e+02 1.9780000e+03 2.9970000e-01 5.8450000e-01 1.6410000e+03 2.9000000e+00 1.1672000e-02 1.4430107e+00
5.2450000e+02 1.9980000e+03 2.9980000e-01 5.8560000e-01 1.6450000e+03 2.9000000e+00 1.1764800e-02 1.4418408e+00
5.3060000e+02 2.0180000e+03 2.9990000e-01 5.8680000e-01 1.6490000e+03 2.9000000e+00 1.1859200e-02 1.4404922e+00
5.3670000e+02 2.0390000e+03 3.0000000e-01 5.8790000e-01 1.6530000e+03 2.9000000e+00 1.1953600e-02 1.4397429e+00
5.4290000e+02 2.0590000e+03 3.0020000e-01 5.8900000e-01 1.6570000e+03 2.9000000e+00 1.2049600e-02 1.4387371e+00
5.4910000e+02 2.0800000e+03 3.0030000e-01 5.9010000e-01 1.6610000e+03 2.9000000e+00 1.2145600e-02 1.4378414e+00
5.5540000e+02 2.1010000e+03 3.0040000e-01 5.9120000e-01 1.6650000e+03 2.9000000e+00 1.2243200e-02 1.4367709e+00
5.6180000e+02 2.1220000e+03 3.0050000e-01 5.9230000e-01 1.6690000e+03 2.9000000e+00 1.2340800e-02 1.4355320e+00
5.6830000e+02 2.1440000e+03 3.0060000e-01 5.9340000e-01 1.6730000e+03 2.9000000e+00 1.2440000e-02 1.4346602e+00
5.7480000e+02 2.1650000e+03 3.0070000e-01 5.9450000e-01 1.6770000e+03 2.9000000e+00 1.2539200e-02 1.4332948e+00
5.8140000e+02 2.1870000e+03 3.0080000e-01 5.9560000e-01 1.6810000e+03 2.9000000e+00 1.2638400e-02 1.4322923e+00
5.8800000e+02 2.2090000e+03 3.0090000e-01 5.9670000e-01 1.6850000e+03 2.9000000e+00 1.2739200e-02 1.4313219e+00
5.9470000e+02 2.2320000e+03 3.0110000e-01 5.9780000e-01 1.6890000e+03 2.9000000e+00 1.2841600e-02 1.4311743e+00
6.0150000e+02 2.2540000e+03 3.0120000e-01 5.9880000e-01 1.6930000e+03 2.9000000e+00 1.2942400e-02 1.4298863e+00
6.0840000e+02 2.2770000e+03 3.0130000e-01 5.9990000e-01 1.6970000e+03 2.9000000e+00 1.3046400e-02 1.4289464e+00
6.1530000e+02 2.3000000e+03 3.0140000e-01 6.0100000e-01 1.7010000e+03 2.9000000e+00 1.3150400e-02 1.4280374e+00
6.2230000e+02 2.3230000e+03 3.0150000e-01 6.0200000e-01 1.7050000e+03 2.9000000e+00 1.3254400e-02 1.4269773e+00
6.2940000e+02 2.3470000e+03 3.0160000e-01 6.0310000e-01 1.7090000e+03 2.9000000e+00 1.3360000e-02 1.4262508e+00
6.3650000e+02 2.3700000e+03 3.0170000e-01 6.0410000e-01 1.7130000e+03 2.9000000e+00 1.3467200e-02 1.4250763e+00
6.4380000e+02 2.3940000e+03 3.0180000e-01 6.0520000e-01 1.7170000e+03 2.9000000e+00 1.3572800e-02 1.4240572e+00
6.5110000e+02 2.4190000e+03 3.0190000e-01 6.0620000e-01 1.7220000e+03 2.9000000e+00 1.3681600e-02 1.4235343e+00
6.5840000e+02 2.4430000e+03 3.0200000e-01 6.0720000e-01 1.7260000e+03 2.9000000e+00 1.3790400e-02 1.4225741e+00
6.6590000e+02 2.4680000e+03 3.0210000e-01 6.0830000e-01 1.7300000e+03 2.9000000e+00 1.3899200e-02 1.4217618e+00
6.7340000e+02 2.4920000e+03 3.0220000e-01 6.0930000e-01 1.7340000e+03 2.9000000e+00 1.4009600e-02 1.4205285e+00
6.8100000e+02 2.5180000e+03 3.0240000e-01 6.1030000e-01 1.7380000e+03 2.9000000e+00 1.4121600e-02 1.4205251e+00
6.8870000e+02 2.5430000e+03 3.0250000e-01 6.1130000e-01 1.7420000e+03 2.9000000e+00 1.4233600e-02 1.4194704e+00
6.9650000e+02 2.5690000e+03 3.0260000e-01 6.1230000e-01 1.7460000e+03 2.9000000e+00 1.4345600e-02 1.4187226e+00
7.0430000e+02 2.5950000e+03 3.0270000e-01 6.1330000e-01 1.7510000e+03 2.9000000e+00 1.4459200e-02 1.4180010e+00
7.1220000e+02 2.6210000e+03 3.0280000e-01 6.1430000e-01 1.7550000e+03 2.9000000e+00 1.4574400e-02 1.4171482e+00
7.2020000e+02 2.6470000e+03 3.0290000e-01 6.1530000e-01 1.7590000e+03 2.9000000e+00 1.4689600e-02 1.4161690e+00
7.2830000e+02 2.6740000e+03 3.0300000e-01 6.1630000e-01 1.7630000e+03 2.9000000e+00 1.4806400e-02 1.4154839e+00
7.3650000e+02 2.7010000e+03 3.0310000e-01 6.1730000e-01 1.7670000e+03 2.9000000e+00 1.4923200e-02 1.4146724e+00
7.4480000e+02 2.7280000e+03 3.0320000e-01 6.1830000e-01 1.7720000e+03 2.9000000e+00 1.5041600e-02 1.4137392e+00
7.5310000e+02 2.7560000e+03 3.0330000e-01 6.1930000e-01 1.7760000e+03 2.9000000e+00 1.5160000e-02 1.4132387e+00
7.6150000e+02 2.7830000e+03 3.0340000e-01 6.2020000e-01 1.7800000e+03 2.9000000e+00 1.5280000e-02 1.4122144e+00
7.7000000e+02 2.8110000e+03 3.0350000e-01 6.2120000e-01 1.7840000e+03 2.9000000e+00 1.5401600e-02 1.4114721e+00
7.7860000e+02 2.8400000e+03 3.0360000e-01 6.2220000e-01 1.7890000e+03 2.9000000e+00 1.5523200e-02 1.4110030e+00
7.8730000e+02 2.8680000e+03 3.0370000e-01 6.2310000e-01 1.7930000e+03 2.9000000e+00 1.5644800e-02 1.4100274e+00
7.9610000e+02 2.8970000e+03 3.0380000e-01 6.2410000e-01 1.7970000e+03 2.9000000e+00 1.5769600e-02 1.4093252e+00
8.0500000e+02 2.9270000e+03 3.0390000e-01 6.2500000e-01 1.8020000e+03 2.9000000e+00 1.5892800e-02 1.4088880e+00
8.1390000e+02 2.9560000e+03 3.0400000e-01 6.2600000e-01 1.8060000e+03 2.9000000e+00 1.6016000e-02 1.4080963e+00
8.2300000e+02 2.9860000e+03 3.0410000e-01 6.2690000e-01 1.8100000e+03 2.9000000e+00 1.6144000e-02 1.4074324e+00
8.3210000e+02 3.0160000e+03 3.0420000e-01 6.2790000e-01 1.8140000e+03 2.9000000e+00 1.6272000e-02 1.4067925e+00
8.4140000e+02 3.0460000e+03 3.0430000e-01 6.2880000e-01 1.8190000e+03 2.9000000e+00 1.6400000e-02 1.4059137e+00
8.5070000e+02 3.0770000e+03 3.0440000e-01 6.2970000e-01 1.8230000e+03 2.9000000e+00 1.6528000e-02 1.4054213e+00
8.6020000e+02 3.1080000e+03 3.0450000e-01 6.3070000e-01 1.8280000e+03 2.9000000e+00 1.6656000e-02 1.4046930e+00
8.6970000e+02 3.1390000e+03 3.0460000e-01 6.3160000e-01 1.8320000e+03 2.9000000e+00 1.6784000e-02 1.4039899e+00
8.7930000e+02 3.1710000e+03 3.0470000e-01 6.3250000e-01 1.8360000e+03 2.9000000e+00 1.6928000e-02 1.4035328e+00
8.8900000e+02 3.2030000e+03 3.0480000e-01 6.3340000e-01 1.8410000e+03 2.9000000e+00 1.7056000e-02 1.4029714e+00
8.9890000e+02 3.2350000e+03 3.0490000e-01 6.3430000e-01 1.8450000e+03 2.9000000e+00 1.7184000e-02 1.4021872e+00
9.0880000e+02 3.2680000e+03 3.0500000e-01 6.3520000e-01 1.8500000e+03 2.9000000e+00 1.7328000e-02 1.4017650e+00
9.1880000e+02 3.3000000e+03 3.0510000e-01 6.3610000e-01 1.8540000e+03 2.9000000e+00 1.7456000e-02 1.4009098e+00
9.2900000e+02 3.3340000e+03 3.0520000e-01 6.3700000e-01 1.8580000e+03 2.9000000e+00 1.7600000e-02 1.4005033e+00
9.3920000e+02 3.3670000e+03 3.0530000e-01 6.3790000e-01 1.8630000e+03 2.9000000e+00 1.7744000e-02 1.3997901e+00
9.4960000e+02 3.4010000e+03 3.0540000e-01 6.3880000e-01 1.8670000e+03 2.9000000e+00 1.7872000e-02 1.3991925e+00
9.6000000e+02 3.4350000e+03 3.0550000e-01 6.3970000e-01 1.8720000e+03 2.9000000e+00 1.8016000e-02 1.3986172e+00
9.7060000e+02 3.4700000e+03 3.0560000e-01 6.4060000e-01 1.8760000e+03 2.9000000e+00 1.8160000e-02 1.3981531e+00
9.8120000e+02 3.5050000e+03 3.0570000e-01 6.4150000e-01 1.8810000e+03 2.9000000e+00 1.8304000e-02 1.3977083e+00
9.9200000e+02 3.5400000e+03 3.0580000e-01 6.4230000e-01 1.8850000e+03 2.9000000e+00 1.8448000e-02 1.3970621e+00
1.0030000e+03 3.5760000e+03 3.0590000e-01 6.4320000e-01 1.8900000e+03 2.9000000e+00 1.8592000e-02 1.3965265e+00
1.0140000e+03 3.6120000e+03 3.0590000e-01 6.4410000e-01 1.8940000e+03 2.9000000e+00 1.8736000e-02 1.3955556e+00
1.0250000e+03 3.6480000e+03 3.0600000e-01 6.4490000e-01 1.8990000e+03 2.9000000e+00 1.8880000e-02 1.3950615e+00
1.0360000e+03 3.6840000e+03 3.0610000e-01 6.4580000e-01 1.9030000e+03 2.9000000e+00 1.9024000e-02 1.3945869e+00
1.0480000e+03 3.7220000e+03 3.0620000e-01 6.4670000e-01 1.9080000e+03 2.9000000e+00 1.9184000e-02 1.3936775e+00
1.0590000e+03 3.7590000e+03 3.0630000e-01 6.4750000e-01 1.9120000e+03 2.9000000e+00 1.9328000e-02 1.3935348e+00
1.0710000e+03 3.7970000e+03 3.0640000e-01 6.4840000e-01 1.9170000e+03 2.9000000e+00 1.9488000e-02 1.3926753e+00
1.0820000e+03 3.8350000e+03 3.0650000e-01 6.4920000e-01 1.9220000e+03 2.9000000e+00 1.9632000e-02 1.3928470e+00
1.0940000e+03 3.8730000e+03 3.0660000e-01 6.5000000e-01 1.9260000e+03 2.9000000e+00 1.9792000e-02 1.3920313e+00
1.1060000e+03 3.9120000e+03 3.0670000e-01 6.5090000e-01 1.9310000e+03 2.9000000e+00 1.9936000e-02 1.3915195e+00
1.1180000e+03 3.9520000e+03 3.0680000e-01 6.5170000e-01 1.9350000e+03 2.9000000e+00 2.0096000e-02 1.3913023e+00
1.1300000e+03 3.9910000e+03 3.0690000e-01 6.5250000e-01 1.9400000e+03 2.9000000e+00 2.0256000e-02 1.3908273e+00
1.1430000e+03 4.0310000e+03 3.0700000e-01 6.5340000e-01 1.9450000e+03 2.9000000e+00 2.0416000e-02 1.3896920e+00
1.1550000e+03 4.0720000e+03 3.0700000e-01 6.5420000e-01 1.9490000e+03 2.9000000e+00 2.0576000e-02 1.3893411e+00
1.1680000e+03 4.1130000e+03 3.0710000e-01 6.5500000e-01 1.9540000e+03 2.9000000e+00 2.0736000e-02 1.3885232e+00
1.1800000e+03 4.1540000e+03 3.0720000e-01 6.5580000e-01 1.9590000e+03 2.9000000e+00 2.0896000e-02 1.3886481e+00
1.1930000e+03 4.1960000e+03 3.0730000e-01 6.5660000e-01 1.9630000e+03 2.9000000e+00 2.1056000e-02 1.3881305e+00
1.2060000e+03 4.2380000e+03 3.0740000e-01 6.5750000e-01 1.9680000e+03 2.9000000e+00 2.1232000e-02 1.3876332e+00
1.2190000e+03 4.2800000e+03 3.0750000e-01 6.5830000e-01 1.9730000e+03 2.9000000e+00 2.1392000e-02 1.3871555e+00
1.2320000e+03 4.3230000e+03 3.0760000e-01 6.5910000e-01 1.9770000e+03 2.9000000e+00 2.1552000e-02 1.3869464e+00
1.2460000e+03 4.3670000e+03 3.0770000e-01 6.5990000e-01 1.9820000e+03 2.9000000e+00 2.1728000e-02 1.3861317e+00
1.2590000e+03 4.4100000e+03 3.0780000e-01 6.6070000e-01 1.9870000e+03 2.9000000e+00 2.1888000e-02 1.3859557e+00
1.2730000e+03 4.4550000e+03 3.0780000e-01 6.6140000e-01 1.9920000e+03 2.9000000e+00 2.2064000e-02 1.3849791e+00
1.2860000e+03 4.4990000e+03 3.0790000e-01 6.6220000e-01 1.9960000e+03 2.9000000e+00 2.2240000e-02 1.3850712e+00
1.3000000e+03 4.5440000e+03 3.0800000e-01 6.6300000e-01 2.0010000e+03 2.9000000e+00 2.2416000e-02 1.3845785e+00
1.3140000e+03 4.5900000e+03 3.0810000e-01 6.6380000e-01 2.0060000e+03 2.9000000e+00 2.2592000e-02 1.3843397e+00
1.3290000e+03 4.6360000e+03 3.0820000e-01 6.6460000e-01 2.0110000e+03 2.9000000e+00 2.2768000e-02 1.3833055e+00
1.3430000e+03 4.6830000e+03 3.0830000e-01 6.6540000e-01 2.0160000e+03 2.9000000e+00 2.2944000e-02 1.3833327e+00
1.3570000e+03 4.7290000e+03 3.0840000e-01 6.6610000e-01 2.0200000e+03 2.9000000e+00 2.3120000e-02 1.3831410e+00
1.3720000e+03 4.7770000e+03 3.0840000e-01 6.6690000e-01 2.0250000e+03 2.9000000e+00 2.3296000e-02 1.3821805e+00
1.3870000e+03 4.8250000e+03 3.0850000e-01 6.6770000e-01 2.0300000e+03 2.9000000e+00 2.3472000e-02 1.3816885e+00
1.4020000e+03 4.8730000e+03 3.0860000e-01 6.6840000e-01 2.0350000e+03 2.9000000e+00 2.3664000e-02 1.3812161e+00
1.4170000e+03 4.9220000e+03 3.0870000e-01 6.6920000e-01 2.0400000e+03 2.9000000e+00 2.3840000e-02 1.3809805e+00
1.4320000e+03 4.9710000e+03 3.0880000e-01 6.6990000e-01 2.0450000e+03 2.9000000e+00 2.4032000e-02 1.3807587e+00
1.4470000e+03 5.0210000e+03 3.0890000e-01 6.7070000e-01 2.0500000e+03 2.9000000e+00 2.4208000e-02 1.3807638e+00
1.4630000e+03 5.0710000e+03 3.0890000e-01 6.7150000e-01 2.0550000e+03 2.9000000e+00 2.4400000e-02 1.3795985e+00
1.4790000e+03 5.1220000e+03 3.0900000e-01 6.7220000e-01 2.0590000e+03 2.9000000e+00 2.4592000e-02 1.3791136e+00
1.4940000e+03 5.1730000e+03 3.0910000e-01 6.7290000e-01 2.0640000e+03 2.9000000e+00 2.4784000e-02 1.3793639e+00
1.5100000e+03 5.2250000e+03 3.0920000e-01 6.7370000e-01 2.0690000e+03 2.9000000e+00 2.4976000e-02 1.3791139e+00
1.5270000e+03 5.2770000e+03 3.0930000e-01 6.7440000e-01 2.0740000e+03 2.9000000e+00 2.5168000e-02 1.3781776e+00
1.5430000e+03 5.3300000e+03 3.0930000e-01 6.7520000e-01 2.0790000e+03 2.9000000e+00 2.5360000e-02 1.3777180e+00
1.5590000e+03 5.3840000e+03 3.0940000e-01 6.7590000e-01 2.0840000e+03 2.9000000e+00 2.5568000e-02 1.3779116e+00
1.5760000e+03 5.4380000e+03 3.0950000e-01 6.7660000e-01 2.0890000e+03 2.9000000e+00 2.5760000e-02 1.3774321e+00
1.5930000e+03 5.4920000e+03 3.0960000e-01 6.7730000e-01 2.0940000e+03 2.9000000e+00 2.5952000e-02 1.3769718e+00
1.6100000e+03 5.5470000e+03 3.0970000e-01 6.7810000e-01 2.0990000e+03 2.9000000e+00 2.6160000e-02 1.3767223e+00
1.6270000e+03 5.6020000e+03 3.0970000e-01 6.7880000e-01 2.1040000e+03 2.9000000e+00 2.6368000e-02 1.3760426e+00
1.6450000e+03 5.6580000e+03 3.0980000e-01 6.7950000e-01 2.1090000e+03 2.9000000e+00 2.6560000e-02 1.3753613e+00
1.6620000e+03 5.7150000e+03 3.0990000e-01 6.8020000e-01 2.1140000e+03 2.9000000e+00 2.6768000e-02 1.3755309e+00
1.6800000e+03 5.7720000e+03 3.1000000e-01 6.8090000e-01 2.1190000e+03 2.9000000e+00 2.6976000e-02 1.3750714e+00
1.6980000e+03 5.8300000e+03 3.1010000e-01 6.8160000e-01 2.1240000e+03 2.9000000e+00 2.7184000e-02 1.3748132e+00
1.7160000e+03 5.8880000e+03 3.1010000e-01 6.8230000e-01 2.1300000e+03 2.9000000e+00 2.7392000e-02 1.3741261e+00
1.7340000e+03 5.9470000e+03 3.1020000e-01 6.8300000e-01 2.1350000e+03 2.9000000e+00 2.7616000e-02 1.3740751e+00
1.7520000e+03 6.0070000e+03 3.1030000e-01 6.8370000e-01 2.1400000e+03 2.9000000e+00 2.7824000e-02 1.3742110e+00
1.7710000e+03 6.0670000e+03 3.1040000e-01 6.8440000e-01 2.1450000e+03 2.9000000e+00 2.8032000e-02 1.3737522e+00
1.7900000e+03 6.1270000e+03 3.1050000e-01 6.8510000e-01 2.1500000e+03 2.9000000e+00 2.8256000e-02 1.3733120e+00
1.7940000e+03 6.1390000e+03 3.1050000e-01 6.8530000e-01 2.1510000e+03 2.9000000e+00 2.8304000e-02 1.3730192e+00
2.1010000e+03 7.1270000e+03 3.1160000e-01 6.9540000e-01 2.2300000e+03 2.9000000e+00 3.1760000e-02 1.3686077e+00
2.4450000e+03 8.2290000e+03 3.1260000e-01 7.0450000e-01 2.3080000e+03 2.9000000e+00 3.5488000e-02 1.3647004e+00
2.8280000e+03 9.4540000e+03 3.1350000e-01 7.1290000e-01 2.3870000e+03 2.9000000e+00 3.9488000e-02 1.3615301e+00
3.2540000e+03 1.0810000e+04 3.1440000e-01 7.2070000e-01 2.4650000e+03 2.9000000e+00 4.3776000e-02 1.3588573e+00
3.7260000e+03 1.2310000e+04 3.1520000e-01 7.2780000e-01 2.5440000e+03 2.9000000e+00 4.8368000e-02 1.3565612e+00
4.2450000e+03 1.3950000e+04 3.1590000e-01 7.3430000e-01 2.6220000e+03 2.9000000e+00 5.3248000e-02 1.3540166e+00
4.8170000e+03 1.5760000e+04 3.1660000e-01 7.4040000e-01 2.7010000e+03 2.9000000e+00 5.8464000e-02 1.3524348e+00
5.4440000e+03 1.7740000e+04 3.1720000e-01 7.4610000e-01 2.7790000e+03 2.9000000e+00 6.4000000e-02 1.3508385e+00
6.1280000e+03 1.9900000e+04 3.1780000e-01 7.5130000e-01 2.8580000e+03 2.9000000e+00 6.9872000e-02 1.3498202e+00
6.8750000e+03 2.2240000e+04 3.1840000e-01 7.5620000e-01 2.9370000e+03 2.9000000e+00 7.6096000e-02 1.3483951e+00
7.6870000e+03 2.4790000e+04 3.1890000e-01 7.6090000e-01 3.0150000e+03 2.9000000e+00 8.2656000e-02 1.3473286e+00
8.5690000e+03 2.7550000e+04 3.1930000e-01 7.6520000e-01 3.0940000e+03 2.9000000e+00 8.9600000e-02 1.3458743e+00
9.5230000e+03 3.0540000e+04 3.1980000e-01 7.6920000e-01 3.1720000e+03 2.9000000e+00 9.6912000e-02 1.3453898e+00
1.0550000e+04 3.3760000e+04 3.2020000e-01 7.7310000e-01 3.2510000e+03 2.9000000e+00 1.0460800e-01 1.3448400e+00
1.1670000e+04 3.7230000e+04 3.2060000e-01 7.7670000e-01 3.3290000e+03 2.9000000e+00 1.1270400e-01 1.3433882e+00
1.2860000e+04 4.0960000e+04 3.2100000e-01 7.8010000e-01 3.4080000e+03 2.9000000e+00 1.2120000e-01 1.3434075e+00
1.4150000e+04 4.4970000e+04 3.2130000e-01 7.8330000e-01 3.4860000e+03 2.9000000e+00 1.3011200e-01 1.3424209e+00
1.5530000e+04 4.9260000e+04 3.2170000e-01 7.8640000e-01 3.5650000e+03 2.9000000e+00 1.3945600e-01 1.3421084e+00
1.7010000e+04 5.3850000e+04 3.2200000e-01 7.8930000e-01 3.6430000e+03 2.9000000e+00 1.4921600e-01 1.3413827e+00
1.8590000e+04 5.8750000e+04 3.2230000e-01 7.9210000e-01 3.7220000e+03 2.9000000e+00 1.5944000e-01 1.3408651e+00
2.0270000e+04 6.3980000e+04 3.2260000e-01 7.9470000e-01 3.8010000e+03 2.9000000e+00 1.7008000e-01 1.3408510e+00
2.2070000e+04 6.9550000e+04 3.2280000e-01 7.9720000e-01 3.8790000e+03 2.9000000e+00 1.8128000e-01 1.3400515e+00
2.3980000e+04 7.5480000e+04 3.2310000e-01 7.9960000e-01 3.9580000e+03 2.9000000e+00 1.9280000e-01 1.3400970e+00
2.6020000e+04 8.1780000e+04 3.2340000e-01 8.0190000e-01 4.0360000e+03 2.9000000e+00 2.0496000e-01 1.3398355e+00
2.8180000e+04 8.8460000e+04 3.2360000e-01 8.0400000e-01 4.1150000e+03 2.9000000e+00 2.1744000e-01 1.3394146e+00
3.0470000e+04 9.5540000e+04 3.2380000e-01 8.0610000e-01 4.1930000e+03 2.9000000e+00 2.3056000e-01 1.3390889e+00
3.2900000e+04 1.0300000e+05 3.2400000e-01 8.0810000e-01 4.2720000e+03 2.9000000e+00 2.4416000e-01 1.3383465e+00
3.5480000e+04 1.1100000e+05 3.2420000e-01 8.1000000e-01 4.3500000e+03 2.9000000e+00 2.5824000e-01 1.3384672e+00
3.8190000e+04 1.1940000e+05 3.2440000e-01 8.1190000e-01 4.4290000e+03 2.9000000e+00 2.7296000e-01 1.3386278e+00
4.1070000e+04 1.2820000e+05 3.2460000e-01 8.1360000e-01 4.5080000e+03 2.9000000e+00 2.8816000e-01 1.3378389e+00
4.4100000e+04 1.3750000e+05 3.2480000e-01 8.1530000e-01 4.5860000e+03 2.9000000e+00 3.0384000e-01 1.3374984e+00
4.7290000e+04 1.4740000e+05 3.2500000e-01 8.1700000e-01 4.6650000e+03 2.9000000e+00 3.2016000e-01 1.3380049e+00
5.0650000e+04 1.5770000e+05 3.2510000e-01 8.1850000e-01 4.7430000e+03 2.9000000e+00 3.3712000e-01 1.3373067e+00
5.4190000e+04 1.6860000e+05 3.2530000e-01 8.2010000e-01 4.8220000e+03 2.9000000e+00 3.5456000e-01 1.3373978e+00
5.7920000e+04 1.8000000e+05 3.2540000e-01 8.2150000e-01 4.9000000e+03 2.9000000e+00 3.7264000e-01 1.3366569e+00
