p e n/n0 cs2 p_norm muB X
8.153e-04 2.275e+02 1.141e-02 3.254e-01 7.967e-06 9.565e-01 2.800e+00
5.312e-01 2.291e+02 1.149e-02 3.246e-01 5.143e-03 9.587e-01 2.800e+00
1.067e+00 2.308e+02 1.157e-02 3.230e-01 1.023e-02 9.609e-01 2.800e+00
1.607e+00 2.324e+02 1.165e-02 3.214e-01 1.527e-02 9.632e-01 2.800e+00
2.153e+00 2.341e+02 1.174e-02 3.199e-01 2.027e-02 9.654e-01 2.800e+00
2.704e+00 2.359e+02 1.182e-02 3.184e-01 2.522e-02 9.677e-01 2.800e+00
3.260e+00 2.376e+02 1.191e-02 3.170e-01 3.013e-02 9.699e-01 2.800e+00
3.822e+00 2.394e+02 1.200e-02 3.157e-01 3.500e-02 9.722e-01 2.800e+00
4.389e+00 2.412e+02 1.209e-02 3.144e-01 3.982e-02 9.744e-01 2.800e+00
4.962e+00 2.430e+02 1.218e-02 3.132e-01 4.460e-02 9.767e-01 2.800e+00
5.540e+00 2.449e+02 1.227e-02 3.120e-01 4.934e-02 9.789e-01 2.800e+00
6.124e+00 2.467e+02 1.236e-02 3.108e-01 5.404e-02 9.812e-01 2.800e+00
6.714e+00 2.486e+02 1.245e-02 3.097e-01 5.869e-02 9.835e-01 2.800e+00
7.309e+00 2.506e+02 1.255e-02 3.086e-01 6.331e-02 9.858e-01 2.800e+00
7.911e+00 2.525e+02 1.264e-02 3.076e-01 6.788e-02 9.881e-01 2.800e+00
8.518e+00 2.545e+02 1.274e-02 3.066e-01 7.242e-02 9.904e-01 2.800e+00
9.132e+00 2.565e+02 1.283e-02 3.056e-01 7.692e-02 9.927e-01 2.800e+00
9.751e+00 2.585e+02 1.293e-02 3.047e-01 8.138e-02 9.950e-01 2.800e+00
1.038e+01 2.606e+02 1.303e-02 3.038e-01 8.580e-02 9.973e-01 2.800e+00
1.101e+01 2.627e+02 1.313e-02 3.029e-01 9.018e-02 9.996e-01 2.800e+00
1.165e+01 2.648e+02 1.323e-02 3.021e-01 9.453e-02 1.002e+00 2.800e+00
1.229e+01 2.669e+02 1.333e-02 3.013e-01 9.884e-02 1.004e+00 2.800e+00
1.294e+01 2.691e+02 1.344e-02 3.006e-01 1.031e-01 1.007e+00 2.800e+00
1.360e+01 2.713e+02 1.354e-02 2.998e-01 1.074e-01 1.009e+00 2.800e+00
1.427e+01 2.735e+02 1.365e-02 2.991e-01 1.116e-01 1.011e+00 2.800e+00
