p e n/n0 cs2 p_norm muB X
4.927e+01 3.551e+02 1.781e-02 2.817e-01 2.866e-01 1.089e+00 3
5.027e+01 3.587e+02 1.797e-02 2.817e-01 2.895e-01 1.092e+00 3
5.128e+01 3.623e+02 1.812e-02 2.817e-01 2.925e-01 1.094e+00 3
5.230e+01 3.659e+02 1.828e-02 2.817e-01 2.954e-01 1.097e+00 3
5.334e+01 3.695e+02 1.844e-02 2.817e-01 2.983e-01 1.100e+00 3
5.438e+01 3.733e+02 1.860e-02 2.817e-01 3.011e-01 1.102e+00 3
5.544e+01 3.770e+02 1.877e-02 2.817e-01 3.040e-01 1.105e+00 3
5.650e+01 3.808e+02 1.893e-02 2.817e-01 3.068e-01 1.108e+00 3
5.758e+01 3.846e+02 1.910e-02 2.818e-01 3.096e-01 1.111e+00 3
5.868e+01 3.885e+02 1.926e-02 2.818e-01 3.124e-01 1.113e+00 3
5.978e+01 3.924e+02 1.943e-02 2.818e-01 3.152e-01 1.116e+00 3
6.090e+01 3.964e+02 1.960e-02 2.819e-01 3.179e-01 1.119e+00 3
6.203e+01 4.004e+02 1.977e-02 2.819e-01 3.206e-01 1.122e+00 3
6.317e+01 4.044e+02 1.995e-02 2.820e-01 3.234e-01 1.124e+00 3
6.432e+01 4.085e+02 2.012e-02 2.820e-01 3.261e-01 1.127e+00 3
6.549e+01 4.127e+02 2.030e-02 2.821e-01 3.287e-01 1.130e+00 3
6.667e+01 4.169e+02 2.047e-02 2.821e-01 3.314e-01 1.133e+00 3
6.787e+01 4.211e+02 2.065e-02 2.822e-01 3.340e-01 1.135e+00 3
6.907e+01 4.254e+02 2.083e-02 2.822e-01 3.366e-01 1.138e+00 3
7.029e+01 4.297e+02 2.102e-02 2.823e-01 3.392e-01 1.141e+00 3
7.153e+01 4.341e+02 2.120e-02 2.824e-01 3.418e-01 1.144e+00 3
7.278e+01 4.385e+02 2.138e-02 2.824e-01 3.444e-01 1.147e+00 3
7.404e+01 4.430e+02 2.157e-02 2.825e-01 3.469e-01 1.149e+00 3
7.532e+01 4.475e+02 2.176e-02 2.826e-01 3.495e-01 1.152e+00 3
7.661e+01 4.520e+02 2.195e-02 2.827e-01 3.520e-01 1.155e+00 3
7.791e+01 4.567e+02 2.214e-02 2.828e-01 3.545e-01 1.158e+00 3
7.923e+01 4.613e+02 2.233e-02 2.828e-01 3.570e-01 1.161e+00 3
8.057e+01 4.661e+02 2.253e-02 2.829e-01 3.594e-01 1.164e+00 3
8.192e+01 4.708e+02 2.272e-02 2.830e-01 3.619e-01 1.166e+00 3
8.328e+01 4.756e+02 2.292e-02 2.831e-01 3.643e-01 1.169e+00 3
8.466e+01 4.805e+02 2.312e-02 2.832e-01 3.667e-01 1.172e+00 3
8.606e+01 4.854e+02 2.332e-02 2.833e-01 3.691e-01 1.175e+00 3
8.747e+01 4.904e+02 2.353e-02 2.834e-01 3.715e-01 1.178e+00 3
8.890e+01 4.955e+02 2.373e-02 2.835e-01 3.739e-01 1.181e+00 3
9.034e+01 5.006e+02 2.394e-02 2.836e-01 3.763e-01 1.184e+00 3
9.180e+01 5.057e+02 2.415e-02 2.837e-01 3.786e-01 1.187e+00 3
9.327e+01 5.109e+02 2.436e-02 2.838e-01 3.809e-01 1.190e+00 3
9.477e+01 5.162e+02 2.457e-02 2.839e-01 3.832e-01 1.193e+00 3
9.628e+01 5.215e+02 2.478e-02 2.840e-01 3.855e-01 1.195e+00 3
9.780e+01 5.268e+02 2.500e-02 2.841e-01 3.878e-01 1.198e+00 3
9.934e+01 5.323e+02 2.521e-02 2.842e-01 3.901e-01 1.201e+00 3
1.009e+02 5.378e+02 2.543e-02 2.843e-01 3.923e-01 1.204e+00 3
1.025e+02 5.433e+02 2.565e-02 2.844e-01 3.946e-01 1.207e+00 3
1.041e+02 5.489e+02 2.588e-02 2.845e-01 3.968e-01 1.210e+00 3
1.057e+02 5.546e+02 2.610e-02 2.847e-01 3.990e-01 1.213e+00 3
1.073e+02 5.603e+02 2.633e-02 2.848e-01 4.012e-01 1.216e+00 3
1.090e+02 5.661e+02 2.655e-02 2.849e-01 4.034e-01 1.219e+00 3
1.106e+02 5.719e+02 2.678e-02 2.850e-01 4.055e-01 1.222e+00 3
1.123e+02 5.778e+02 2.702e-02 2.851e-01 4.077e-01 1.225e+00 3
1.140e+02 5.838e+02 2.725e-02 2.852e-01 4.098e-01 1.228e+00 3
1.157e+02 5.899e+02 2.748e-02 2.854e-01 4.120e-01 1.231e+00 3
1.175e+02 5.960e+02 2.772e-02 2.855e-01 4.141e-01 1.234e+00 3
1.193e+02 6.021e+02 2.796e-02 2.856e-01 4.162e-01 1.237e+00 3
1.210e+02 6.084e+02 2.820e-02 2.857e-01 4.183e-01 1.240e+00 3
1.228e+02 6.147e+02 2.845e-02 2.858e-01 4.203e-01 1.243e+00 3
1.247e+02 6.210e+02 2.869e-02 2.860e-01 4.224e-01 1.246e+00 3
1.265e+02 6.275e+02 2.894e-02 2.861e-01 4.244e-01 1.250e+00 3
1.284e+02 6.340e+02 2.919e-02 2.862e-01 4.265e-01 1.253e+00 3
1.302e+02 6.406e+02 2.944e-02 2.863e-01 4.285e-01 1.256e+00 3
1.321e+02 6.472e+02 2.969e-02 2.865e-01 4.305e-01 1.259e+00 3
1.341e+02 6.539e+02 2.995e-02 2.866e-01 4.325e-01 1.262e+00 3
1.360e+02 6.607e+02 3.021e-02 2.867e-01 4.345e-01 1.265e+00 3
1.380e+02 6.676e+02 3.047e-02 2.869e-01 4.365e-01 1.268e+00 3
1.400e+02 6.745e+02 3.073e-02 2.870e-01 4.385e-01 1.271e+00 3
1.420e+02 6.815e+02 3.099e-02 2.871e-01 4.404e-01 1.274e+00 3
1.440e+02 6.886e+02 3.126e-02 2.872e-01 4.423e-01 1.277e+00 3
1.461e+02 6.958e+02 3.153e-02 2.874e-01 4.443e-01 1.281e+00 3
1.482e+02 7.030e+02 3.180e-02 2.875e-01 4.462e-01 1.284e+00 3
1.503e+02 7.103e+02 3.207e-02 2.876e-01 4.481e-01 1.287e+00 3
1.524e+02 7.177e+02 3.234e-02 2.878e-01 4.500e-01 1.290e+00 3
1.545e+02 7.251e+02 3.262e-02 2.879e-01 4.519e-01 1.293e+00 3
1.567e+02 7.327e+02 3.290e-02 2.880e-01 4.538e-01 1.296e+00 3
1.589e+02 7.403e+02 3.318e-02 2.882e-01 4.556e-01 1.300e+00 3
1.611e+02 7.480e+02 3.347e-02 2.883e-01 4.575e-01 1.303e+00 3
1.634e+02 7.558e+02 3.375e-02 2.884e-01 4.593e-01 1.306e+00 3
1.656e+02 7.637e+02 3.404e-02 2.886e-01 4.611e-01 1.309e+00 3
1.679e+02 7.716e+02 3.433e-02 2.887e-01 4.630e-01 1.312e+00 3
1.702e+02 7.797e+02 3.463e-02 2.888e-01 4.648e-01 1.316e+00 3
1.726e+02 7.878e+02 3.492e-02 2.890e-01 4.666e-01 1.319e+00 3
1.750e+02 7.960e+02 3.522e-02 2.891e-01 4.683e-01 1.322e+00 3
1.774e+02 8.043e+02 3.552e-02 2.892e-01 4.701e-01 1.325e+00 3
1.798e+02 8.126e+02 3.582e-02 2.894e-01 4.719e-01 1.329e+00 3
1.822e+02 8.211e+02 3.613e-02 2.895e-01 4.736e-01 1.332e+00 3
1.847e+02 8.297e+02 3.644e-02 2.896e-01 4.754e-01 1.335e+00 3
1.872e+02 8.383e+02 3.675e-02 2.898e-01 4.771e-01 1.338e+00 3
1.897e+02 8.471e+02 3.706e-02 2.899e-01 4.789e-01 1.342e+00 3
1.923e+02 8.559e+02 3.737e-02 2.900e-01 4.806e-01 1.345e+00 3
1.949e+02 8.648e+02 3.769e-02 2.902e-01 4.823e-01 1.348e+00 3
1.975e+02 8.738e+02 3.801e-02 2.903e-01 4.840e-01 1.352e+00 3
2.002e+02 8.829e+02 3.833e-02 2.905e-01 4.857e-01 1.355e+00 3
2.028e+02 8.921e+02 3.866e-02 2.906e-01 4.873e-01 1.358e+00 3
2.055e+02 9.014e+02 3.899e-02 2.907e-01 4.890e-01 1.362e+00 3
2.083e+02 9.108e+02 3.932e-02 2.909e-01 4.907e-01 1.365e+00 3
2.110e+02 9.203e+02 3.965e-02 2.910e-01 4.923e-01 1.368e+00 3
2.138e+02 9.299e+02 3.999e-02 2.911e-01 4.940e-01 1.372e+00 3
