p e n/n0 cs2 p_norm muB X
5.231e-04 6.526e+02 2.588e-02 4.061e-01 1.999e-06 1.210e+00 2
1.082e+00 6.553e+02 2.598e-02 4.029e-01 4.109e-03 1.212e+00 2
2.171e+00 6.580e+02 2.609e-02 3.998e-01 8.186e-03 1.214e+00 2
3.265e+00 6.608e+02 2.620e-02 3.968e-01 1.223e-02 1.216e+00 2
4.366e+00 6.636e+02 2.631e-02 3.939e-01 1.625e-02 1.218e+00 2
5.473e+00 6.664e+02 2.642e-02 3.911e-01 2.024e-02 1.220e+00 2
6.587e+00 6.692e+02 2.653e-02 3.884e-01 2.419e-02 1.222e+00 2
7.708e+00 6.721e+02 2.665e-02 3.858e-01 2.812e-02 1.224e+00 2
8.835e+00 6.751e+02 2.676e-02 3.832e-01 3.202e-02 1.226e+00 2
9.969e+00 6.780e+02 2.688e-02 3.808e-01 3.589e-02 1.228e+00 2
1.111e+01 6.810e+02 2.699e-02 3.784e-01 3.974e-02 1.230e+00 2
1.226e+01 6.841e+02 2.711e-02 3.761e-01 4.355e-02 1.232e+00 2
1.341e+01 6.872e+02 2.723e-02 3.738e-01 4.734e-02 1.234e+00 2
1.457e+01 6.903e+02 2.735e-02 3.716e-01 5.110e-02 1.236e+00 2
1.574e+01 6.934e+02 2.748e-02 3.695e-01 5.484e-02 1.238e+00 2
1.692e+01 6.966e+02 2.760e-02 3.675e-01 5.855e-02 1.240e+00 2
1.810e+01 6.999e+02 2.772e-02 3.655e-01 6.223e-02 1.242e+00 2
1.929e+01 7.031e+02 2.785e-02 3.635e-01 6.588e-02 1.244e+00 2
2.049e+01 7.064e+02 2.798e-02 3.616e-01 6.951e-02 1.246e+00 2
2.169e+01 7.098e+02 2.811e-02 3.598e-01 7.312e-02 1.248e+00 2
2.291e+01 7.131e+02 2.824e-02 3.580e-01 7.670e-02 1.250e+00 2
2.413e+01 7.166e+02 2.837e-02 3.563e-01 8.025e-02 1.252e+00 2
2.536e+01 7.200e+02 2.850e-02 3.546e-01 8.378e-02 1.254e+00 2
2.659e+01 7.235e+02 2.863e-02 3.530e-01 8.729e-02 1.256e+00 2
2.784e+01 7.270e+02 2.877e-02 3.514e-01 9.077e-02 1.258e+00 2
2.909e+01 7.306e+02 2.890e-02 3.499e-01 9.422e-02 1.261e+00 2
3.035e+01 7.342e+02 2.904e-02 3.484e-01 9.766e-02 1.263e+00 2
3.162e+01 7.379e+02 2.918e-02 3.469e-01 1.011e-01 1.265e+00 2
3.289e+01 7.416e+02 2.932e-02 3.455e-01 1.045e-01 1.267e+00 2
3.418e+01 7.453e+02 2.946e-02 3.441e-01 1.078e-01 1.269e+00 2
3.547e+01 7.490e+02 2.960e-02 3.428e-01 1.112e-01 1.271e+00 2
3.677e+01 7.528e+02 2.974e-02 3.415e-01 1.145e-01 1.273e+00 2
3.808e+01 7.567e+02 2.989e-02 3.402e-01 1.178e-01 1.275e+00 2
3.940e+01 7.606e+02 3.003e-02 3.390e-01 1.210e-01 1.277e+00 2
4.072e+01 7.645e+02 3.018e-02 3.378e-01 1.243e-01 1.279e+00 2
4.206e+01 7.684e+02 3.033e-02 3.366e-01 1.275e-01 1.282e+00 2
4.340e+01 7.724e+02 3.048e-02 3.355e-01 1.307e-01 1.284e+00 2
4.476e+01 7.765e+02 3.063e-02 3.344e-01 1.339e-01 1.286e+00 2
4.612e+01 7.806e+02 3.078e-02 3.333e-01 1.371e-01 1.288e+00 2
4.749e+01 7.847e+02 3.094e-02 3.322e-01 1.402e-01 1.290e+00 2
4.887e+01 7.889e+02 3.109e-02 3.312e-01 1.434e-01 1.292e+00 2
5.026e+01 7.931e+02 3.125e-02 3.302e-01 1.465e-01 1.294e+00 2
5.166e+01 7.973e+02 3.140e-02 3.292e-01 1.495e-01 1.296e+00 2
5.306e+01 8.016e+02 3.156e-02 3.283e-01 1.526e-01 1.299e+00 2
5.448e+01 8.059e+02 3.172e-02 3.273e-01 1.556e-01 1.301e+00 2
5.591e+01 8.103e+02 3.188e-02 3.264e-01 1.587e-01 1.303e+00 2
5.735e+01 8.147e+02 3.204e-02 3.255e-01 1.617e-01 1.305e+00 2
