p e n/n0 cs2 p_norm muB X
4.288e-04 7.791e+01 4.964e-03 2.781e-01 1.093e-05 7.527e-01 4
2.364e-01 7.876e+01 5.018e-03 2.778e-01 5.951e-03 7.549e-01 4
4.756e-01 7.962e+01 5.073e-03 2.771e-01 1.183e-02 7.572e-01 4
7.181e-01 8.049e+01 5.128e-03 2.765e-01 1.765e-02 7.595e-01 4
9.641e-01 8.138e+01 5.184e-03 2.760e-01 2.341e-02 7.618e-01 4
1.213e+00 8.229e+01 5.241e-03 2.754e-01 2.912e-02 7.641e-01 4
1.466e+00 8.321e+01 5.299e-03 2.749e-01 3.477e-02 7.664e-01 4
1.723e+00 8.414e+01 5.357e-03 2.745e-01 4.036e-02 7.687e-01 4
1.983e+00 8.509e+01 5.416e-03 2.740e-01 4.590e-02 7.710e-01 4
2.247e+00 8.605e+01 5.476e-03 2.736e-01 5.138e-02 7.733e-01 4
2.514e+00 8.703e+01 5.536e-03 2.732e-01 5.681e-02 7.756e-01 4
2.785e+00 8.802e+01 5.598e-03 2.729e-01 6.218e-02 7.780e-01 4
3.060e+00 8.903e+01 5.660e-03 2.725e-01 6.750e-02 7.803e-01 4
3.339e+00 9.006e+01 5.723e-03 2.722e-01 7.278e-02 7.827e-01 4
3.622e+00 9.110e+01 5.786e-03 2.719e-01 7.800e-02 7.850e-01 4
3.909e+00 9.215e+01 5.851e-03 2.716e-01 8.317e-02 7.874e-01 4
4.200e+00 9.322e+01 5.916e-03 2.714e-01 8.829e-02 7.898e-01 4
4.495e+00 9.431e+01 5.982e-03 2.711e-01 9.336e-02 7.922e-01 4
4.794e+00 9.542e+01 6.049e-03 2.709e-01 9.839e-02 7.945e-01 4
5.098e+00 9.654e+01 6.116e-03 2.707e-01 1.034e-01 7.969e-01 4
5.405e+00 9.767e+01 6.184e-03 2.705e-01 1.083e-01 7.993e-01 4
5.718e+00 9.883e+01 6.254e-03 2.704e-01 1.132e-01 8.017e-01 4
6.034e+00 1.000e+02 6.324e-03 2.702e-01 1.180e-01 8.042e-01 4
6.355e+00 1.012e+02 6.394e-03 2.701e-01 1.228e-01 8.066e-01 4
6.681e+00 1.024e+02 6.466e-03 2.700e-01 1.276e-01 8.090e-01 4
7.012e+00 1.036e+02 6.538e-03 2.699e-01 1.323e-01 8.114e-01 4
7.347e+00 1.049e+02 6.612e-03 2.698e-01 1.369e-01 8.139e-01 4
7.687e+00 1.061e+02 6.686e-03 2.697e-01 1.416e-01 8.163e-01 4
8.031e+00 1.074e+02 6.761e-03 2.696e-01 1.461e-01 8.188e-01 4
8.381e+00 1.087e+02 6.837e-03 2.696e-01 1.507e-01 8.213e-01 4
