p e n/n0 cs2 p_norm muB X
9.091e+01 6.569e+03 1.566e-01 8.635e-01 4.303e-02 2.039e+00 1
9.219e+01 6.570e+03 1.567e-01 8.601e-01 4.360e-02 2.039e+00 1
9.347e+01 6.572e+03 1.567e-01 8.567e-01 4.417e-02 2.040e+00 1
9.476e+01 6.573e+03 1.568e-01 8.534e-01 4.475e-02 2.040e+00 1
9.604e+01 6.575e+03 1.568e-01 8.501e-01 4.532e-02 2.040e+00 1
9.732e+01 6.576e+03 1.568e-01 8.468e-01 4.589e-02 2.041e+00 1
9.861e+01 6.578e+03 1.569e-01 8.436e-01 4.646e-02 2.041e+00 1
9.989e+01 6.579e+03 1.569e-01 8.404e-01 4.702e-02 2.042e+00 1
1.012e+02 6.581e+03 1.569e-01 8.372e-01 4.759e-02 2.042e+00 1
1.025e+02 6.583e+03 1.570e-01 8.341e-01 4.816e-02 2.042e+00 1
1.037e+02 6.584e+03 1.570e-01 8.310e-01 4.873e-02 2.043e+00 1
1.050e+02 6.586e+03 1.570e-01 8.279e-01 4.929e-02 2.043e+00 1
1.063e+02 6.587e+03 1.571e-01 8.248e-01 4.986e-02 2.044e+00 1
1.076e+02 6.589e+03 1.571e-01 8.218e-01 5.042e-02 2.044e+00 1
1.089e+02 6.590e+03 1.572e-01 8.188e-01 5.099e-02 2.044e+00 1
1.102e+02 6.592e+03 1.572e-01 8.158e-01 5.155e-02 2.045e+00 1
1.115e+02 6.593e+03 1.572e-01 8.129e-01 5.211e-02 2.045e+00 1
1.128e+02 6.595e+03 1.573e-01 8.100e-01 5.268e-02 2.046e+00 1
1.141e+02 6.597e+03 1.573e-01 8.071e-01 5.324e-02 2.046e+00 1
1.153e+02 6.598e+03 1.573e-01 8.042e-01 5.380e-02 2.046e+00 1
1.166e+02 6.600e+03 1.574e-01 8.014e-01 5.436e-02 2.047e+00 1
1.179e+02 6.601e+03 1.574e-01 7.986e-01 5.492e-02 2.047e+00 1
1.192e+02 6.603e+03 1.575e-01 7.958e-01 5.548e-02 2.048e+00 1
1.205e+02 6.605e+03 1.575e-01 7.930e-01 5.604e-02 2.048e+00 1
1.218e+02 6.606e+03 1.575e-01 7.903e-01 5.660e-02 2.048e+00 1
1.231e+02 6.608e+03 1.576e-01 7.876e-01 5.715e-02 2.049e+00 1
1.244e+02 6.610e+03 1.576e-01 7.849e-01 5.771e-02 2.049e+00 1
1.257e+02 6.611e+03 1.576e-01 7.822e-01 5.827e-02 2.049e+00 1
1.270e+02 6.613e+03 1.577e-01 7.796e-01 5.882e-02 2.050e+00 1
1.283e+02 6.615e+03 1.577e-01 7.769e-01 5.938e-02 2.050e+00 1
1.296e+02 6.616e+03 1.578e-01 7.744e-01 5.993e-02 2.051e+00 1
1.309e+02 6.618e+03 1.578e-01 7.718e-01 6.048e-02 2.051e+00 1
1.322e+02 6.620e+03 1.578e-01 7.692e-01 6.104e-02 2.051e+00 1
1.335e+02 6.621e+03 1.579e-01 7.667e-01 6.159e-02 2.052e+00 1
1.348e+02 6.623e+03 1.579e-01 7.642e-01 6.214e-02 2.052e+00 1
1.361e+02 6.625e+03 1.580e-01 7.617e-01 6.269e-02 2.053e+00 1
1.374e+02 6.626e+03 1.580e-01 7.592e-01 6.324e-02 2.053e+00 1
1.387e+02 6.628e+03 1.580e-01 7.568e-01 6.379e-02 2.053e+00 1
1.400e+02 6.630e+03 1.581e-01 7.544e-01 6.434e-02 2.054e+00 1
1.413e+02 6.632e+03 1.581e-01 7.520e-01 6.489e-02 2.054e+00 1
1.426e+02 6.633e+03 1.582e-01 7.496e-01 6.544e-02 2.055e+00 1
1.439e+02 6.635e+03 1.582e-01 7.472e-01 6.598e-02 2.055e+00 1
1.452e+02 6.637e+03 1.582e-01 7.449e-01 6.653e-02 2.055e+00 1
1.465e+02 6.639e+03 1.583e-01 7.426e-01 6.708e-02 2.056e+00 1
1.478e+02 6.640e+03 1.583e-01 7.402e-01 6.762e-02 2.056e+00 1
1.491e+02 6.642e+03 1.584e-01 7.380e-01 6.817e-02 2.057e+00 1
1.504e+02 6.644e+03 1.584e-01 7.357e-01 6.871e-02 2.057e+00 1
1.517e+02 6.646e+03 1.584e-01 7.334e-01 6.926e-02 2.057e+00 1
1.530e+02 6.647e+03 1.585e-01 7.312e-01 6.980e-02 2.058e+00 1
1.543e+02 6.649e+03 1.585e-01 7.290e-01 7.034e-02 2.058e+00 1
1.556e+02 6.651e+03 1.586e-01 7.268e-01 7.088e-02 2.059e+00 1
1.569e+02 6.653e+03 1.586e-01 7.246e-01 7.143e-02 2.059e+00 1
1.583e+02 6.655e+03 1.587e-01 7.225e-01 7.197e-02 2.059e+00 1
1.596e+02 6.656e+03 1.587e-01 7.203e-01 7.251e-02 2.060e+00 1
1.609e+02 6.658e+03 1.587e-01 7.182e-01 7.305e-02 2.060e+00 1
1.622e+02 6.660e+03 1.588e-01 7.161e-01 7.358e-02 2.061e+00 1
1.635e+02 6.662e+03 1.588e-01 7.140e-01 7.412e-02 2.061e+00 1
1.648e+02 6.664e+03 1.589e-01 7.119e-01 7.466e-02 2.061e+00 1
1.661e+02 6.666e+03 1.589e-01 7.099e-01 7.520e-02 2.062e+00 1
1.674e+02 6.668e+03 1.590e-01 7.078e-01 7.573e-02 2.062e+00 1
1.688e+02 6.669e+03 1.590e-01 7.058e-01 7.627e-02 2.063e+00 1
1.701e+02 6.671e+03 1.590e-01 7.038e-01 7.681e-02 2.063e+00 1
1.714e+02 6.673e+03 1.591e-01 7.018e-01 7.734e-02 2.063e+00 1
1.727e+02 6.675e+03 1.591e-01 6.998e-01 7.787e-02 2.064e+00 1
1.740e+02 6.677e+03 1.592e-01 6.978e-01 7.841e-02 2.064e+00 1
1.753e+02 6.679e+03 1.592e-01 6.959e-01 7.894e-02 2.065e+00 1
1.767e+02 6.681e+03 1.593e-01 6.939e-01 7.947e-02 2.065e+00 1
1.780e+02 6.683e+03 1.593e-01 6.920e-01 8.000e-02 2.065e+00 1
1.793e+02 6.684e+03 1.593e-01 6.901e-01 8.054e-02 2.066e+00 1
1.806e+02 6.686e+03 1.594e-01 6.882e-01 8.107e-02 2.066e+00 1
1.819e+02 6.688e+03 1.594e-01 6.863e-01 8.160e-02 2.066e+00 1
1.833e+02 6.690e+03 1.595e-01 6.845e-01 8.213e-02 2.067e+00 1
1.846e+02 6.692e+03 1.595e-01 6.826e-01 8.265e-02 2.067e+00 1
1.859e+02 6.694e+03 1.596e-01 6.808e-01 8.318e-02 2.068e+00 1
1.872e+02 6.696e+03 1.596e-01 6.790e-01 8.371e-02 2.068e+00 1
1.885e+02 6.698e+03 1.597e-01 6.772e-01 8.424e-02 2.068e+00 1
1.899e+02 6.700e+03 1.597e-01 6.754e-01 8.476e-02 2.069e+00 1
1.912e+02 6.702e+03 1.598e-01 6.736e-01 8.529e-02 2.069e+00 1
1.925e+02 6.704e+03 1.598e-01 6.718e-01 8.582e-02 2.070e+00 1
1.938e+02 6.706e+03 1.598e-01 6.700e-01 8.634e-02 2.070e+00 1
1.952e+02 6.708e+03 1.599e-01 6.683e-01 8.686e-02 2.070e+00 1
1.965e+02 6.710e+03 1.599e-01 6.666e-01 8.739e-02 2.071e+00 1
1.978e+02 6.712e+03 1.600e-01 6.648e-01 8.791e-02 2.071e+00 1
1.992e+02 6.714e+03 1.600e-01 6.631e-01 8.843e-02 2.072e+00 1
2.005e+02 6.716e+03 1.601e-01 6.614e-01 8.896e-02 2.072e+00 1
2.018e+02 6.718e+03 1.601e-01 6.598e-01 8.948e-02 2.072e+00 1
2.032e+02 6.720e+03 1.602e-01 6.581e-01 9.000e-02 2.073e+00 1
2.045e+02 6.722e+03 1.602e-01 6.564e-01 9.052e-02 2.073e+00 1
2.058e+02 6.724e+03 1.603e-01 6.548e-01 9.104e-02 2.074e+00 1
2.071e+02 6.726e+03 1.603e-01 6.531e-01 9.156e-02 2.074e+00 1
2.085e+02 6.728e+03 1.604e-01 6.515e-01 9.208e-02 2.074e+00 1
2.098e+02 6.730e+03 1.604e-01 6.499e-01 9.259e-02 2.075e+00 1
2.112e+02 6.732e+03 1.605e-01 6.483e-01 9.311e-02 2.075e+00 1
2.125e+02 6.734e+03 1.605e-01 6.467e-01 9.363e-02 2.076e+00 1
2.138e+02 6.736e+03 1.605e-01 6.451e-01 9.414e-02 2.076e+00 1
2.152e+02 6.738e+03 1.606e-01 6.436e-01 9.466e-02 2.076e+00 1
2.165e+02 6.740e+03 1.606e-01 6.420e-01 9.518e-02 2.077e+00 1
2.178e+02 6.743e+03 1.607e-01 6.405e-01 9.569e-02 2.077e+00 1
2.192e+02 6.745e+03 1.607e-01 6.389e-01 9.620e-02 2.078e+00 1
2.205e+02 6.747e+03 1.608e-01 6.374e-01 9.672e-02 2.078e+00 1
2.219e+02 6.749e+03 1.608e-01 6.359e-01 9.723e-02 2.078e+00 1
2.232e+02 6.751e+03 1.609e-01 6.344e-01 9.774e-02 2.079e+00 1
2.245e+02 6.753e+03 1.609e-01 6.329e-01 9.825e-02 2.079e+00 1
2.259e+02 6.755e+03 1.610e-01 6.314e-01 9.877e-02 2.080e+00 1
2.272e+02 6.757e+03 1.610e-01 6.299e-01 9.928e-02 2.080e+00 1
2.286e+02 6.759e+03 1.611e-01 6.285e-01 9.979e-02 2.080e+00 1
2.299e+02 6.762e+03 1.611e-01 6.270e-01 1.003e-01 2.081e+00 1
2.313e+02 6.764e+03 1.612e-01 6.256e-01 1.008e-01 2.081e+00 1
2.326e+02 6.766e+03 1.612e-01 6.241e-01 1.013e-01 2.082e+00 1
2.339e+02 6.768e+03 1.613e-01 6.227e-01 1.018e-01 2.082e+00 1
2.353e+02 6.770e+03 1.613e-01 6.213e-01 1.023e-01 2.082e+00 1
2.366e+02 6.772e+03 1.614e-01 6.199e-01 1.028e-01 2.083e+00 1
2.380e+02 6.775e+03 1.614e-01 6.185e-01 1.033e-01 2.083e+00 1
2.393e+02 6.777e+03 1.615e-01 6.171e-01 1.038e-01 2.084e+00 1
2.407e+02 6.779e+03 1.615e-01 6.157e-01 1.044e-01 2.084e+00 1
2.420e+02 6.781e+03 1.616e-01 6.143e-01 1.049e-01 2.084e+00 1
2.434e+02 6.783e+03 1.616e-01 6.130e-01 1.054e-01 2.085e+00 1
2.447e+02 6.786e+03 1.617e-01 6.116e-01 1.059e-01 2.085e+00 1
2.461e+02 6.788e+03 1.617e-01 6.103e-01 1.064e-01 2.086e+00 1
2.474e+02 6.790e+03 1.618e-01 6.089e-01 1.069e-01 2.086e+00 1
2.488e+02 6.792e+03 1.618e-01 6.076e-01 1.074e-01 2.086e+00 1
