r1 m1
8.35107e+00 4.02158e-01
8.32729e+00 4.05634e-01
8.26048e+00 4.16531e-01
8.24899e+00 4.18596e-01
8.18481e+00 4.30905e-01
8.17069e+00 4.34178e-01
8.12317e+00 4.45278e-01
8.09239e+00 4.54879e-01
8.07616e+00 4.59652e-01
8.03843e+00 4.74025e-01
8.01409e+00 4.86869e-01
8.01077e+00 4.88399e-01
7.98378e+00 5.02772e-01
7.96195e+00 5.17146e-01
7.94344e+00 5.31519e-01
7.93580e+00 5.38245e-01
7.92533e+00 5.45893e-01
7.90912e+00 5.60266e-01
7.89717e+00 5.74640e-01
7.88920e+00 5.89013e-01
7.88450e+00 6.03387e-01
7.88195e+00 6.17760e-01
7.88036e+00 6.32134e-01
7.87906e+00 6.46507e-01
7.87821e+00 6.60881e-01
7.87853e+00 6.75254e-01
7.88060e+00 6.89628e-01
7.88409e+00 7.04001e-01
7.88748e+00 7.18375e-01
7.88844e+00 7.32748e-01
7.88484e+00 7.47122e-01
7.87572e+00 7.61495e-01
7.86161e+00 7.75869e-01
7.85750e+00 7.79175e-01
7.83989e+00 7.90242e-01
7.81509e+00 8.04616e-01
7.79020e+00 8.18989e-01
7.77920e+00 8.25643e-01
7.76223e+00 8.33363e-01
7.73368e+00 8.47736e-01
7.70979e+00 8.62110e-01
7.70090e+00 8.69750e-01
7.68984e+00 8.76483e-01
7.67722e+00 8.90857e-01
7.67398e+00 9.05230e-01
7.67627e+00 9.19604e-01
7.67935e+00 9.33977e-01
7.67961e+00 9.48351e-01
7.67487e+00 9.62724e-01
7.66375e+00 9.77098e-01
7.64543e+00 9.91471e-01
7.62261e+00 1.00410e+00
7.61843e+00 1.00584e+00
7.57707e+00 1.02022e+00
7.54431e+00 1.03075e+00
7.53019e+00 1.03459e+00
7.47678e+00 1.04897e+00
7.46601e+00 1.05187e+00
7.41951e+00 1.06334e+00
7.38771e+00 1.07217e+00
7.36535e+00 1.07771e+00
7.31466e+00 1.09209e+00
7.30941e+00 1.09382e+00
7.26065e+00 1.10646e+00
7.23112e+00 1.11525e+00
7.20429e+00 1.12083e+00
7.15282e+00 1.13205e+00
7.13032e+00 1.13521e+00
7.07452e+00 1.14327e+00
7.00522e+00 1.14958e+00
6.99622e+00 1.15047e+00
6.91793e+00 1.15793e+00
6.85512e+00 1.16395e+00
6.83963e+00 1.16557e+00
6.76133e+00 1.17515e+00
6.73690e+00 1.17833e+00
6.68303e+00 1.18574e+00
6.62927e+00 1.19270e+00
6.60474e+00 1.19622e+00
6.52644e+00 1.20682e+00
6.52470e+00 1.20707e+00
6.44836e+00 1.22145e+00
6.44814e+00 1.22152e+00
6.41644e+00 1.23582e+00
