R M
8.155726142212536445e+00 1.142761045718569290e+00
1.158884516406552301e+01 7.522797897818156443e-01
9.883960976932309350e+00 9.260382630678755111e-01
7.722924017028880428e+00 9.734353755313045475e-01
9.536725626164255232e+00 1.068838218765981285e+00
7.182489906929390600e+00 1.076999309710380048e+00
6.304817428741701590e+00 1.186862915322508316e+00
1.018679977108298473e+01 7.943807565431408868e-01
9.522676361273969547e+00 9.563354486704076507e-01
1.186993570926455455e+01 5.845492159962144552e-01
1.186176811820311805e+01 1.128197896624126173e+00
9.455465045001183455e+00 1.253666256025132819e+00
1.004040216195490132e+01 1.502186876801070881e+00
8.574204817998580808e+00 1.394851445374021726e+00
9.403112748887281214e+00 6.810032131377532494e-01
9.698715090644505210e+00 1.232577833237725295e+00
8.030682488567917332e+00 8.520136136879910005e-01
6.640170227180514750e+00 1.279850872454489474e+00
8.301308941683982923e+00 1.272050992881013309e+00
7.817547600786689976e+00 1.127441567517372345e+00
8.298807493789119860e+00 1.315098281731744034e+00
8.603820992238487619e+00 3.864197532943207669e-01
9.517734388364539555e+00 1.217558763977491854e+00
1.022459548057582168e+01 4.926738062757536341e-01
9.600564283222183803e+00 9.389937082881463226e-01
1.121058774288223603e+01 8.342461854702865054e-01
1.052085992088473532e+01 7.708376218401661317e-01
1.019243764777738193e+01 4.438180539838091909e-01
7.957711228632446065e+00 9.528642020483744091e-01
1.027662560282363380e+01 1.037910399405245654e+00
8.969888502595697588e+00 6.806589250698290572e-01
8.210854135229290307e+00 9.329890862600324075e-01
9.141374459923937934e+00 9.964525725000603629e-01
1.195604094711703880e+01 6.824552096755535091e-01
9.561509585413798362e+00 7.510194139071544317e-01
1.005065706049084184e+01 4.935316505857240132e-01
9.768073346505570242e+00 6.028661010674898346e-01
1.041244062006342119e+01 5.613157412958991177e-01
1.185191799108135058e+01 6.212842935339362160e-01
6.540410162514734616e+00 1.070787667306889901e+00
8.498442014061591721e+00 8.595297667776957695e-01
1.130795165265244862e+01 1.072867327423183692e+00
9.971996158464294879e+00 5.483535360541247350e-01
1.059947729517323900e+01 6.186891614103861015e-01
8.674725291234668845e+00 9.180046730483438777e-01
1.001417791070442753e+01 1.010850083922785636e+00
9.122877080288981588e+00 4.695622041546360093e-01
7.144154434231287709e+00 8.432302462388466813e-01
9.543044506919256875e+00 7.012914769908459300e-01
7.105683962796760511e+00 1.245705551812370748e+00
8.331175889952071145e+00 8.690480209074139539e-01
8.197193428470420429e+00 1.119323322389176312e+00
9.981268623616623259e+00 1.070459692359625237e+00
1.042747937895950372e+01 5.738025391383480001e-01
7.908013740473709419e+00 5.792053101717471453e-01
8.739493315937563622e+00 1.222255540708098609e+00
7.299254349628228056e+00 1.009002689369309369e+00
7.590685383947088027e+00 1.192180968197920965e+00
7.820755658709151348e+00 1.403263699042234469e+00
9.646702208357163855e+00 6.296490746167859864e-01
7.796317498222200548e+00 1.288345543354405764e+00
9.797647071237484795e+00 1.096823631975852420e+00
1.005856126177833509e+01 6.389458177768468916e-01
9.908892129548075189e+00 7.507399026616775606e-01
1.248161113251621046e+01 8.559761988213294703e-01
9.594108325199600884e+00 4.642950159347862260e-01
8.027251388116107833e+00 6.970933972503702281e-01
6.215256090812276923e+00 1.358423587741465210e+00
9.911826679535304052e+00 5.937459030587106668e-01
7.254483979247138059e+00 1.527609341093247419e+00
9.592477978614303069e+00 5.593693615868158275e-01
9.438247726199087140e+00 3.342548638104714809e-01
1.017796211299207876e+01 6.954089956248277193e-01
8.557051957127079334e+00 6.560216686632751593e-01
8.823552793390488702e+00 1.216039071835827379e+00
1.072021446792658494e+01 8.194659384517126721e-01
1.103027997421734874e+01 8.370593284370900777e-01
6.630323289072543425e+00 1.342119451122787410e+00
1.096998532305117457e+01 8.513317157915805122e-01
7.500689695344596508e+00 1.110486693638983224e+00
1.006573334938510378e+01 4.071507870032714527e-01
6.884188496864721785e+00 1.174916092220828379e+00
5.855966221031248864e+00 1.107890826280739649e+00
8.892286145479955550e+00 1.228671731999029237e+00
