e  p
480.58340098636035 84.086745403950701     
484.72491968465897 85.548680198959687     
488.87308524281241 87.020916295715196     
493.02812735180731 88.503458927314014     
497.19027012882668 89.996313050138411     
501.35973247595791 91.499483365307285     
505.53672841186983 93.012974338991143     
509.72146737885384 94.536790221668738     
513.91415452737908 96.070935066376705     
518.11499098000422 97.615412745973188     
522.32417407653668 99.170226969490443     
526.54189760204690 100.73538129761337     
530.76835199931929 102.31087915735657     
535.00372456717400 103.89672385600335     
539.24819964596202 105.49291859436970     
543.50195879151397 107.09946647947578     
547.76518093860363 108.71637053668076     
552.03804255502371 110.34363372137003     
556.32071778719035 111.98125893025438     
560.61337859815626 113.62924901235914     
564.91619489882839 115.28760677977287     
569.22933467310224 116.95633501822375     
573.55296409755715 118.63543649754581     
577.88724765552217 120.32491398189522     
582.23234825072609 122.02477024102660     
586.58842730937454 123.73500805958624     
590.95564488635080 125.45563024855626     
595.33415976459344 127.18663965587965     
599.72412955241737 128.92803917750481     
604.12571077830012 130.67983176869117     
608.53905898336450 132.44202045561497     
612.96432881172245 134.21460834730519     
617.40167409883395 135.99759864793904     
621.85124795797310 137.79099466951703     
626.31320286490200 139.59479984494163     
630.78769074075296 141.40901774150376     
635.27486303318483 143.23365207479594     
639.77487079576451 145.06870672305223     
644.28786476556070 146.91418574191314     
648.81399543889700 148.77009337961792     
653.35341314518462 150.63643409261218     
657.90626811873312 152.51321256155433     
662.47271056846762 154.40043370771883     
667.05289074538064 156.29810270975676     
671.64695900764059 158.20622502081068     
676.25506588315818 160.12480638593789     
680.87736213101664 162.05385286020382     
685.51399879147721 163.99337082489208     
690.16512725380403 165.94336700910299     
694.83089929452387 167.90384850500348     
699.51146712914840 169.87482278726628     
704.20698345836570 171.85629773231756     
708.91760150635378 173.84828163639855     
713.64347505783280 175.85078323436460     
718.38475849058398 177.86381171829794     
723.14160680373982 179.88737675601428     
727.91417564171093 181.92148850942340     
732.70262131354764 183.96615765267515     
737.50710080760155 186.02139539004415     
742.32777180132132 188.08721347349433     
