n e p muB cs2 gamma
1.8087990e-07 1.6855460e-04 4.8817260e-08 2.8112600e+03 3.3140230e-04 1.1445862e+00
1.9315020e-07 1.7999230e-04 5.2624690e-08 2.8112800e+03 3.4448070e-04 1.1785723e+00
2.0625300e-07 1.9220630e-04 5.6983430e-08 2.8113020e+03 3.6839570e-04 1.2429748e+00
2.2024460e-07 2.0524910e-04 6.1948950e-08 2.8113260e+03 3.9178580e-04 1.2984555e+00
2.3518540e-07 2.1917710e-04 6.7570480e-08 2.8113510e+03 4.1447330e-04 1.3448338e+00
2.5113970e-07 2.3405020e-04 7.3907460e-08 2.8113770e+03 4.3595680e-04 1.3810243e+00
2.6817630e-07 2.4993270e-04 8.0999230e-08 2.8114040e+03 4.5439210e-04 1.4025349e+00
2.8636870e-07 2.6689320e-04 8.8848620e-08 2.8114320e+03 4.6727240e-04 1.4041112e+00
3.0579510e-07 2.8500480e-04 9.7398090e-08 2.8114610e+03 4.7256920e-04 1.3832973e+00
3.2653940e-07 3.0434580e-04 1.0654890e-07 2.8114910e+03 4.7663550e-04 1.3619361e+00
3.4869090e-07 3.2499950e-04 1.1647050e-07 2.8115210e+03 4.8469610e-04 1.3529816e+00
3.7234510e-07 3.4705480e-04 1.2726230e-07 2.8115510e+03 4.9378170e-04 1.3470772e+00
3.9760400e-07 3.7060700e-04 1.3900450e-07 2.8115810e+03 5.0337720e-04 1.3425831e+00
4.2457630e-07 3.9575760e-04 1.5179410e-07 2.8116120e+03 5.1392780e-04 1.3404266e+00
4.5337840e-07 4.2261530e-04 1.6575210e-07 2.8116430e+03 5.2606680e-04 1.3418296e+00
4.8413430e-07 4.5129600e-04 1.8103500e-07 2.8116760e+03 5.4007150e-04 1.3468660e+00
5.1697660e-07 4.8192370e-04 1.9781190e-07 2.8117090e+03 5.5296180e-04 1.3477186e+00
5.5204680e-07 5.1463000e-04 2.1607860e-07 2.8117440e+03 5.6391270e-04 1.3436233e+00
5.8949610e-07 5.4955630e-04 2.3597560e-07 2.8117780e+03 5.7621740e-04 1.3425112e+00
6.2948590e-07 5.8685340e-04 2.5772700e-07 2.8118140e+03 5.9304690e-04 1.3509816e+00
6.7218840e-07 6.2668210e-04 2.8176640e-07 2.8118510e+03 6.0638140e-04 1.3492710e+00
7.1778780e-07 6.6921440e-04 3.0768490e-07 2.8118880e+03 5.9284740e-04 1.2900354e+00
7.6648050e-07 7.1463360e-04 3.3380950e-07 2.8119230e+03 5.4987050e-04 1.1777361e+00
8.1847640e-07 7.6313540e-04 3.5916790e-07 2.8119550e+03 5.0723640e-04 1.0782485e+00
8.7399950e-07 8.1492920e-04 3.8457690e-07 2.8119840e+03 4.9256350e-04 1.0442484e+00
9.3328920e-07 8.7023890e-04 4.1193760e-07 2.8120150e+03 5.2043820e-04 1.0999723e+00
9.9660090e-07 9.2930360e-04 4.4430170e-07 2.8120500e+03 5.7159850e-04 1.1961298e+00
1.0642070e-06 9.9237740e-04 4.8194790e-07 2.8120870e+03 6.1812720e-04 1.2734019e+00
1.1364000e-06 1.0597320e-03 5.2511130e-07 2.8121270e+03 6.6124960e-04 1.3351352e+00
1.2134910e-06 1.1316590e-03 5.7424080e-07 2.8121690e+03 7.0080370e-04 1.3817779e+00
1.2958100e-06 1.2084680e-03 6.2952530e-07 2.8122130e+03 7.3237240e-04 1.4066308e+00
1.3837140e-06 1.2904910e-03 6.9070090e-07 2.8122580e+03 7.4992870e-04 1.4019009e+00
1.4775820e-06 1.3780830e-03 7.5677160e-07 2.8123040e+03 7.4746370e-04 1.3618808e+00
1.5778170e-06 1.4716230e-03 8.2600640e-07 2.8123500e+03 7.3662490e-04 1.3131165e+00
1.6848510e-06 1.5715130e-03 8.9921050e-07 2.8123950e+03 7.3103010e-04 1.2783221e+00
1.7991470e-06 1.6781830e-03 9.7698250e-07 2.8124400e+03 7.2785500e-04 1.2509794e+00
1.9211960e-06 1.7920940e-03 1.0597430e-06 2.8124840e+03 7.2695870e-04 1.2300612e+00
2.0515240e-06 1.9137380e-03 1.1482280e-06 2.8125270e+03 7.3096860e-04 1.2190277e+00
2.1906940e-06 2.0436400e-03 1.2436760e-06 2.8125710e+03 7.4348890e-04 1.2224633e+00
2.3393050e-06 2.1823620e-03 1.3481060e-06 2.8126170e+03 7.6939570e-04 1.2462946e+00
2.4979960e-06 2.3305050e-03 1.4647120e-06 2.8126670e+03 8.0610840e-04 1.2834061e+00
2.6674540e-06 2.4887090e-03 1.5954500e-06 2.8127190e+03 8.3990300e-04 1.3109870e+00
2.8484060e-06 2.6576510e-03 1.7397830e-06 2.8127720e+03 8.6796140e-04 1.3267451e+00
3.0416340e-06 2.8380630e-03 1.8989990e-06 2.8128270e+03 8.9590920e-04 1.3398365e+00
3.2479700e-06 3.0307220e-03 2.0743600e-06 2.8128820e+03 9.2286100e-04 1.3492593e+00
3.4683030e-06 3.2364620e-03 2.2670080e-06 2.8129380e+03 9.4758250e-04 1.3537504e+00
3.7035830e-06 3.4561720e-03 2.4778330e-06 2.8129960e+03 9.6843390e-04 1.3517754e+00
3.9548230e-06 3.6908040e-03 2.7072820e-06 2.8130560e+03 9.8515510e-04 1.3440349e+00
4.2231070e-06 3.9413710e-03 2.9560680e-06 2.8131170e+03 1.0018960e-03 1.3368453e+00
4.5095910e-06 4.2089510e-03 3.2267280e-06 2.8131790e+03 1.0227570e-03 1.3351092e+00
4.8155090e-06 4.4947030e-03 3.5224150e-06 2.8132430e+03 1.0506830e-03 1.3417525e+00
5.1421800e-06 4.7998610e-03 3.8482260e-06 2.8133080e+03 1.0816330e-03 1.3501937e+00
5.4910110e-06 5.1257430e-03 4.2055670e-06 2.8133750e+03 1.0999790e-03 1.3417538e+00
5.8635050e-06 5.4737550e-03 4.5896530e-06 2.8134430e+03 1.0899300e-03 1.3009725e+00
6.2612690e-06 5.8454040e-03 4.9892760e-06 2.8135090e+03 1.0428440e-03 1.2228322e+00
6.6860160e-06 6.2422890e-03 5.3894220e-06 2.8135700e+03 9.8822510e-04 1.1455983e+00
7.1395770e-06 6.6661240e-03 5.7992180e-06 2.8136290e+03 9.7425830e-04 1.1208712e+00
7.6239050e-06 7.1187430e-03 6.2437540e-06 2.8136890e+03 1.0287270e-03 1.1739198e+00
8.1410900e-06 7.6021070e-03 6.7650510e-06 2.8137560e+03 1.1271840e-03 1.2677804e+00
8.6933580e-06 8.1182950e-03 7.3737390e-06 2.8138290e+03 1.2134680e-03 1.3372102e+00
9.2830910e-06 8.6695370e-03 8.0628270e-06 2.8139050e+03 1.2654390e-03 1.3619259e+00
9.9128300e-06 9.2582250e-03 8.8174410e-06 2.8139840e+03 1.2841980e-03 1.3496793e+00
1.0585290e-05 9.8869050e-03 9.6263620e-06 2.8140630e+03 1.2990510e-03 1.3355096e+00
1.1303360e-05 1.0558280e-02 1.0507370e-05 2.8141430e+03 1.3260930e-03 1.3338442e+00
1.2070150e-05 1.1275270e-02 1.1468770e-05 2.8142260e+03 1.3577550e-03 1.3362048e+00
1.2888960e-05 1.2040970e-02 1.2522200e-05 2.8143100e+03 1.3975400e-03 1.3452299e+00
1.3763310e-05 1.2858680e-02 1.3683990e-05 2.8143970e+03 1.4281010e-03 1.3433973e+00
1.4696970e-05 1.3731950e-02 1.4937930e-05 2.8144850e+03 1.4152510e-03 1.3024092e+00
1.5693970e-05 1.4664540e-02 1.6237200e-05 2.8145710e+03 1.3448160e-03 1.2159082e+00
1.6758610e-05 1.5660470e-02 1.7525100e-05 2.8146500e+03 1.2624800e-03 1.1294175e+00
1.7895470e-05 1.6724060e-02 1.8833010e-05 2.8147240e+03 1.2373830e-03 1.1000563e+00
1.9109440e-05 1.7859890e-02 2.0247770e-05 2.8148010e+03 1.3089190e-03 1.1558632e+00
2.0405770e-05 1.9072920e-02 2.1917590e-05 2.8148870e+03 1.4442970e-03 1.2582869e+00
2.1790050e-05 2.0368330e-02 2.3882240e-05 2.8149810e+03 1.5636500e-03 1.3351462e+00
2.3268220e-05 2.1751750e-02 2.6114900e-05 2.8150790e+03 1.6346000e-03 1.3631336e+00
2.4846670e-05 2.3229170e-02 2.8562600e-05 2.8151810e+03 1.6646100e-03 1.3554457e+00
2.6532200e-05 2.4807010e-02 3.1202350e-05 2.8152840e+03 1.6929610e-03 1.3476589e+00
2.8332070e-05 2.6492050e-02 3.4090950e-05 2.8153890e+03 1.7064580e-03 1.3277936e+00
3.0254040e-05 2.8291600e-02 3.7146810e-05 2.8154930e+03 1.6451290e-03 1.2546015e+00
3.2306390e-05 3.0213430e-02 4.0199700e-05 2.8155900e+03 1.5318040e-03 1.1528104e+00
3.4497960e-05 3.2265820e-02 4.3219220e-05 2.8156800e+03 1.4517580e-03 1.0852789e+00
3.6838200e-05 3.4457660e-02 4.6355680e-05 2.8157670e+03 1.4728510e-03 1.0962901e+00
3.9337200e-05 3.6798470e-02 4.9908040e-05 2.8158620e+03 1.6142070e-03 1.1918102e+00
4.2005730e-05 3.9298370e-02 5.4201380e-05 2.8159690e+03 1.7885010e-03 1.2985299e+00
4.4855280e-05 4.1968100e-02 5.9178900e-05 2.8160830e+03 1.9094490e-03 1.3560398e+00
4.7898140e-05 4.4819270e-02 6.4760150e-05 2.8162030e+03 1.9756420e-03 1.3692800e+00
5.1147410e-05 4.7864290e-02 7.0834920e-05 2.8163260e+03 2.1122750e-03 1.4294103e+00
5.4617110e-05 5.1116310e-02 7.8111440e-05 2.8164640e+03 2.2126570e-03 1.4501806e+00
5.8322180e-05 5.4589370e-02 8.5703840e-05 2.8165970e+03 1.8476890e-03 1.1787399e+00
6.2278590e-05 5.8298460e-02 9.1216650e-05 2.8166870e+03 1.1397760e-03 7.2959435e-01
6.6503390e-05 6.2259590e-02 9.4265560e-05 2.8167350e+03 1.0574160e-03 6.9944914e-01
7.1014800e-05 6.6489860e-02 1.0003850e-04 2.8168210e+03 1.6198110e-03 1.0782154e+00
7.5832240e-05 7.1007530e-02 1.0858720e-04 2.8169390e+03 2.0330070e-03 1.3314605e+00
8.0976490e-05 7.5832250e-02 1.1912100e-04 2.8170740e+03 2.1463820e-03 1.3685299e+00
8.6469700e-05 8.0985040e-02 1.2997770e-04 2.8172050e+03 2.1225630e-03 1.3246252e+00
9.2335560e-05 8.6488090e-02 1.4175000e-04 2.8173370e+03 2.1911250e-03 1.3390956e+00
9.8599350e-05 9.2365200e-02 1.5495320e-04 2.8174750e+03 2.2689670e-03 1.3547650e+00
1.0528800e-04 9.8641980e-02 1.6934530e-04 2.8176160e+03 2.2528850e-03 1.3145364e+00
1.1243050e-04 1.0534550e-01 1.8416100e-04 2.8196400e+03 1.9800190e-03 1.1346090e+00
1.2005750e-04 1.1250470e-01 1.9657690e-04 2.8195330e+03 1.7370300e-03 9.9587235e-01
1.2820180e-04 1.2015060e-01 2.0988070e-04 2.8194250e+03 1.8303630e-03 1.0496600e+00
1.3689870e-04 1.2831610e-01 2.2561460e-04 2.8193060e+03 1.9862130e-03 1.1316255e+00
1.4618550e-04 1.3703660e-01 2.4348800e-04 2.8191800e+03 2.1048440e-03 1.1867245e+00
1.5610230e-04 1.4635000e-01 2.6364090e-04 2.8190460e+03 2.2133890e-03 1.2308903e+00
1.6669180e-04 1.5629680e-01 2.8618320e-04 2.8189050e+03 2.3483350e-03 1.2848738e+00
1.9007480e-04 1.7826540e-01 3.4175380e-04 2.8187980e+03 2.4986550e-03 1.3058455e+00
2.0296890e-04 1.9038250e-01 3.7182380e-04 2.8189510e+03 2.3476460e-03 1.2043974e+00
2.1673770e-04 2.0332360e-01 4.0035330e-04 2.8190860e+03 2.1425500e-03 1.0902589e+00
2.3144060e-04 2.1714460e-01 4.2905010e-04 2.8192150e+03 2.1601900e-03 1.0954442e+00
2.4714090e-04 2.3190530e-01 4.6225820e-04 2.8193540e+03 2.4463070e-03 1.2297075e+00
2.6390620e-04 2.4766990e-01 5.0413240e-04 2.8195180e+03 2.6962310e-03 1.3272992e+00
2.8180890e-04 2.6450690e-01 5.5024840e-04 2.8196870e+03 2.7711500e-03 1.3348755e+00
3.0092600e-04 2.8248930e-01 6.0069840e-04 2.8198600e+03 2.5584060e-03 1.2056952e+00
3.2134000e-04 3.0169440e-01 6.4476430e-04 2.8200010e+03 1.9754040e-03 9.2629507e-01
3.4313880e-04 3.2220570e-01 6.7829240e-04 2.8201020e+03 1.7030120e-03 8.1067592e-01
3.6641630e-04 3.4411270e-01 7.1720060e-04 2.8202180e+03 1.7453260e-03 8.3915238e-01
3.9127300e-04 3.6750950e-01 7.5726760e-04 2.8203320e+03 1.6784930e-03 8.1626784e-01
4.1781590e-04 3.9249680e-01 7.9830110e-04 2.8204430e+03 1.6047130e-03 7.9058611e-01
4.4615930e-04 4.1918240e-01 8.4005620e-04 2.8205490e+03 1.5236740e-03 7.6182676e-01
4.7642550e-04 4.4768120e-01 8.8223030e-04 2.8206490e+03 1.4352000e-03 7.2971676e-01
5.0874490e-04 4.7811570e-01 9.2445850e-04 2.8207420e+03 1.3392730e-03 6.9399064e-01
5.4325670e-04 5.1061670e-01 9.6631200e-04 2.8208270e+03 1.2361050e-03 6.5441630e-01
5.8010970e-04 5.4532370e-01 1.0072990e-03 2.8209030e+03 1.1262460e-03 6.1084455e-01
6.1946270e-04 5.8238550e-01 1.0468750e-03 2.8209670e+03 1.0106640e-03 5.6325168e-01
6.6148530e-04 6.2196060e-01 1.0844560e-03 2.8210190e+03 8.9087180e-04 5.1182646e-01
7.0635860e-04 6.6421870e-01 1.1194520e-03 2.8210570e+03 7.6915050e-04 4.5713900e-01
7.5427600e-04 7.0934060e-01 1.1513150e-03 2.8210830e+03 6.4875860e-04 4.0035763e-01
8.0544390e-04 7.5751970e-01 1.1796190e-03 2.8210950e+03 5.3418400e-04 3.4357283e-01
8.6008300e-04 8.0896300e-01 1.2041720e-03 2.8210940e+03 4.3150270e-04 2.9031511e-01
9.1842860e-04 8.6389210e-01 1.2251890e-03 2.8210840e+03 3.4881600e-04 2.4630221e-01
9.8073220e-04 9.2254530e-01 1.2435310e-03 2.8210680e+03 2.9680880e-04 2.2049201e-01
1.0472620e-03 9.8517880e-01 1.2610570e-03 2.8210530e+03 2.8940130e-04 2.2637912e-01
1.1183060e-03 1.0520700e+00 1.2811000e-03 2.8210470e+03 3.4452640e-04 2.8327786e-01
1.1941680e-03 1.1235190e+00 1.3091420e-03 2.8210650e+03 4.8478710e-04 4.1653401e-01
1.2751770e-03 1.1998530e+00 1.3536760e-03 2.8211230e+03 7.0594960e-04 6.2643600e-01
1.3616820e-03 1.2813770e+00 1.4218970e-03 2.8212000e+03 9.5917900e-04 8.6534662e-01
1.4540540e-03 1.3684190e+00 1.5167570e-03 2.8212790e+03 1.2037550e-03 1.0872322e+00
1.5526930e-03 1.4613530e+00 1.6399320e-03 2.8213600e+03 1.4151770e-03 1.2624877e+00
1.6580240e-03 1.5605850e+00 1.7898750e-03 2.8214420e+03 1.5549250e-03 1.3572879e+00
1.7704990e-03 1.6665530e+00 1.9596140e-03 2.8215270e+03 1.5704440e-03 1.3371540e+00
1.8906050e-03 1.7797350e+00 2.1335700e-03 2.8216160e+03 1.4952260e-03 1.2487503e+00
2.0188580e-03 1.9006220e+00 2.3089350e-03 2.8217080e+03 1.4764220e-03 1.2168074e+00
2.1558120e-03 2.0297200e+00 2.5030910e-03 2.8218020e+03 1.5294850e-03 1.2417666e+00
2.3020560e-03 2.1675850e+00 2.7177140e-03 2.8218980e+03 1.5804820e-03 1.2621359e+00
2.4582210e-03 2.3148170e+00 2.9541410e-03 2.8219960e+03 1.6257030e-03 1.2755002e+00
2.6249800e-03 2.4720560e+00 3.2131050e-03 2.8220970e+03 1.6645400e-03 1.2823062e+00
2.8030510e-03 2.6399850e+00 3.4957850e-03 2.8222030e+03 1.7079050e-03 1.2915022e+00
2.9932030e-03 2.8193230e+00 3.8067840e-03 2.8223110e+03 1.7592150e-03 1.3046425e+00
3.1962530e-03 3.0108450e+00 4.1488390e-03 2.8224210e+03 1.8103150e-03 1.3155701e+00
3.4130780e-03 3.2153840e+00 4.5244340e-03 2.8225340e+03 1.8589600e-03 1.3229679e+00
3.6446110e-03 3.4338290e+00 4.9358010e-03 2.8226510e+03 1.9063610e-03 1.3281587e+00
3.8918520e-03 3.6671220e+00 5.3863220e-03 2.8227710e+03 1.9559500e-03 1.3336081e+00
4.1558640e-03 3.9162690e+00 5.8802430e-03 2.8228930e+03 2.0079680e-03 1.3393239e+00
4.4377860e-03 4.1823510e+00 6.4217790e-03 2.8230190e+03 2.0614280e-03 1.3446202e+00
4.7388330e-03 4.4665300e+00 7.0155470e-03 2.8231490e+03 2.1143740e-03 1.3482553e+00
5.0603020e-03 4.7700320e+00 7.6653540e-03 2.8232830e+03 2.1651100e-03 1.3494798e+00
5.4035780e-03 5.0941630e+00 8.3754690e-03 2.8234190e+03 2.2154300e-03 1.3496936e+00
5.7701420e-03 5.4403270e+00 9.1514670e-03 2.8235580e+03 2.2671010e-03 1.3500041e+00
6.1615720e-03 5.8100240e+00 9.9996340e-03 2.8236990e+03 2.3208040e-03 1.3507629e+00
6.5795560e-03 6.2048600e+00 1.0927180e-02 2.8238430e+03 2.3775100e-03 1.3524163e+00
7.0258940e-03 6.6265520e+00 1.1942510e-02 2.8239920e+03 2.4386510e-03 1.3555753e+00
7.5025110e-03 7.0769390e+00 1.3055710e-02 2.8241470e+03 2.4987220e-03 1.3569485e+00
8.0114610e-03 7.5579660e+00 1.4271570e-02 2.8243060e+03 2.5493460e-03 1.3526370e+00
8.5549360e-03 8.0716930e+00 1.5593150e-02 2.8244660e+03 2.5951420e-03 1.3459536e+00
9.1352780e-03 8.6203500e+00 1.7030240e-02 2.8246280e+03 2.6438800e-03 1.3409204e+00
9.7549900e-03 9.2063180e+00 1.8594860e-02 2.8247910e+03 2.6981990e-03 1.3385769e+00
1.0416740e-02 9.8321500e+00 2.0302230e-02 2.8249590e+03 2.7617810e-03 1.3402624e+00
1.1123380e-02 1.0500580e+01 2.2172290e-02 2.8251340e+03 2.8291740e-03 1.3426983e+00
1.1877960e-02 1.1214510e+01 2.4216130e-02 2.8253140e+03 2.8838190e-03 1.3383828e+00
1.2683730e-02 1.1976990e+01 2.6432100e-02 2.8254940e+03 2.9289620e-03 1.3301087e+00
1.3544160e-02 1.2791330e+01 2.8837010e-02 2.8256770e+03 2.9794780e-03 1.3245966e+00
1.4462960e-02 1.3661080e+01 3.1452820e-02 2.8258620e+03 3.0399680e-03 1.3234063e+00
1.5444080e-02 1.4590020e+01 3.4308940e-02 2.8260520e+03 3.1133090e-03 1.3270610e+00
1.6491770e-02 1.5582240e+01 3.7439050e-02 2.8262500e+03 3.1799650e-03 1.3266905e+00
1.7610520e-02 1.6641960e+01 4.0837570e-02 2.8264500e+03 3.2315280e-03 1.3201306e+00
1.8805170e-02 1.7773780e+01 4.4524730e-02 2.8266520e+03 3.2875270e-03 1.3156320e+00
2.0080860e-02 1.8982620e+01 4.8537300e-02 2.8268570e+03 3.3577830e-03 1.3165647e+00
2.1443090e-02 2.0273780e+01 5.2925730e-02 2.8270680e+03 3.4449020e-03 1.3230523e+00
2.2897730e-02 2.1652890e+01 5.7744500e-02 2.8272870e+03 3.5262040e-03 1.3257735e+00
2.4451040e-02 2.3125850e+01 6.2988940e-02 2.8275090e+03 3.5964640e-03 1.3240074e+00
2.6109730e-02 2.4699070e+01 6.8707440e-02 2.8277340e+03 3.6816840e-03 1.3271799e+00
2.7880940e-02 2.6379430e+01 7.4977960e-02 2.8279650e+03 3.7942160e-03 1.3387099e+00
2.9772310e-02 2.8174310e+01 8.1908070e-02 2.8282080e+03 3.9190500e-03 1.3519734e+00
3.1791980e-02 3.0091460e+01 8.9540260e-02 2.8284580e+03 4.0352930e-03 1.3601611e+00
3.3948660e-02 3.2139120e+01 9.7921890e-02 2.8287130e+03 4.1570840e-03 1.3685611e+00
3.6251640e-02 3.4326240e+01 1.0716300e-01 2.8289750e+03 4.3025570e-03 1.3824891e+00
3.8710850e-02 3.6662380e+01 1.1740730e-01 2.8292460e+03 4.4810030e-03 1.4037486e+00
4.1336880e-02 3.9157840e+01 1.2884500e-01 2.8295330e+03 4.7001810e-03 1.4331525e+00
4.4141060e-02 4.1823600e+01 1.4170710e-01 2.8298400e+03 4.9401870e-03 1.4629928e+00
4.7135460e-02 4.4671070e+01 1.5612470e-01 2.8301600e+03 5.1879540e-03 1.4895876e+00
5.0333000e-02 4.7712620e+01 1.7230910e-01 2.8304930e+03 5.4602090e-03 1.5173994e+00
5.3747450e-02 5.0961550e+01 1.9053170e-01 2.8308420e+03 5.7647820e-03 1.5476721e+00
5.7393520e-02 5.4432160e+01 2.1111730e-01 2.8312110e+03 6.1071880e-03 1.5807173e+00
6.1286940e-02 5.8139800e+01 2.3445680e-01 2.8316050e+03 6.5057710e-03 1.6197847e+00
6.5444470e-02 6.2100760e+01 2.6111790e-01 2.8320280e+03 6.9524240e-03 1.6604232e+00
6.9884040e-02 6.6332170e+01 2.9153750e-01 2.8324770e+03 7.3021720e-03 1.6687314e+00
7.4624780e-02 7.0852800e+01 3.2509450e-01 2.8329410e+03 9.0722320e-03 1.9863220e+00
7.9687110e-02 7.5683110e+01 3.7742780e-01 2.8336200e+03 1.2356080e-02 2.4900394e+00
8.5092860e-02 8.0845130e+01 4.4960470e-01 2.8344950e+03 1.2534410e-02 2.2663943e+00
9.0865320e-02 8.6361920e+01 5.1021770e-01 2.8351840e+03 1.1566670e-02 1.9693973e+00
9.7029370e-02 9.2257430e+01 5.8206120e-01 2.8359490e+03 1.2857630e-02 2.0508081e+00
1.0361160e-01 9.8558200e+01 6.6759590e-01 2.8368020e+03 1.4357340e-02 2.1339533e+00
1.1064030e-01 1.0529270e+02 7.6991480e-01 2.8377570e+03 1.6113600e-02 2.2197918e+00
1.1814580e-01 1.1249170e+02 8.9299930e-01 2.8388320e+03 1.8165660e-02 2.3065056e+00
1.2616050e-01 1.2018830e+02 1.0416030e+00 2.8400480e+03 2.0549230e-02 2.3916801e+00
1.3471890e-01 1.2841800e+02 1.2216420e+00 2.8414280e+03 2.3326230e-02 2.4753603e+00
1.4385780e-01 1.3721950e+02 1.4405920e+00 2.8430000e+03 2.6547990e-02 2.5553014e+00
1.5361670e-01 1.4663450e+02 1.7073760e+00 2.8447930e+03 3.0262670e-02 2.6293103e+00
1.6403760e-01 1.5670820e+02 2.0329990e+00 2.8468420e+03 3.4557170e-02 2.6983027e+00
1.7516550e-01 1.6748960e+02 2.4313410e+00 2.8491900e+03 3.9515240e-02 2.7616310e+00
1.8704820e-01 1.7903240e+02 2.9191940e+00 2.8518830e+03 4.5210330e-02 2.8179325e+00
1.9973710e-01 1.9139490e+02 3.5171080e+00 2.8549730e+03 5.1747320e-02 2.8677465e+00
2.1328670e-01 2.0464090e+02 4.2505550e+00 2.8585240e+03 5.9243770e-02 2.9115062e+00
2.2775540e-01 2.1884070e+02 5.1507540e+00 2.8626040e+03 6.7819540e-02 2.9492764e+00
2.4320570e-01 2.3407150e+02 6.2559790e+00 2.8672960e+03 7.7349140e-02 2.9714172e+00
2.5970410e-01 2.5041840e+02 7.6043320e+00 2.8726560e+03 8.8540270e-02 3.0042616e+00
2.7732170e-01 2.6797590e+02 9.2730910e+00 2.8788680e+03 1.0260040e-01 3.0675702e+00
2.9613440e-01 2.8685110e+02 1.1363000e+01 2.8861530e+03 1.1986540e-01 3.1457848e+00
3.1622330e-01 3.0716610e+02 1.3997970e+01 2.8947540e+03 1.4016080e-01 3.2157958e+00
3.3767500e-01 3.2906010e+02 1.7313350e+01 2.9048900e+03 1.6395720e-01 3.2801521e+00
3.6058200e-01 3.5269240e+02 2.1507620e+01 2.9168970e+03 1.9203800e-01 3.3411704e+00
3.8504280e-01 3.7824830e+02 2.6817640e+01 2.9311320e+03 2.2408550e-01 3.3846902e+00
4.1116310e-01 4.0594260e+02 3.3512870e+01 2.9479410e+03 2.6046030e-01 3.4154253e+00
4.3905520e-01 4.3602670e+02 4.1959880e+01 2.9678010e+03 3.0181170e-01 3.4380923e+00
4.6883950e-01 4.6879510e+02 5.2600440e+01 2.9912280e+03 3.4785780e-01 3.4480986e+00
5.0064420e-01 5.0459620e+02 6.5959150e+01 3.0187720e+03 3.9881140e-01 3.4497712e+00
5.3460650e-01 5.4384200e+02 8.2715390e+01 3.0511270e+03 4.5480080e-01 3.4450518e+00
5.7087270e-01 5.8702270e+02 1.0367690e+02 3.0890310e+03 5.1593100e-01 3.4371527e+00
6.0959910e-01 6.3472440e+02 1.2989460e+02 3.1334280e+03 5.8211380e-01 3.4265880e+00
6.5095260e-01 6.8765040e+02 1.6261180e+02 3.1853120e+03 6.5195720e-01 3.4089443e+00
6.9511140e-01 7.4664300e+02 2.0329420e+02 3.2457270e+03 7.2541040e-01 3.3896408e+00
7.4226580e-01 8.1271880e+02 2.5387520e+02 3.3160740e+03 8.0234470e-01 3.3708532e+00
7.9261900e-01 8.8710100e+02 3.1664050e+02 3.3978190e+03 8.8133430e-01 3.3504832e+00
8.4638800e-01 9.7127500e+02 3.9439920e+02 3.4926620e+03 9.6101710e-01 3.3276849e+00
9.0380460e-01 1.0670250e+03 4.9047180e+02 3.6023970e+03 1.0405290e+00 3.3042075e+00
9.6511620e-01 1.1765170e+03 6.0905400e+02 3.7292400e+03 1.1192180e+00 3.2812250e+00
1.0305870e+00 1.3023760e+03 7.5515440e+02 3.8755950e+03 1.1958790e+00 3.2583501e+00
1.1004990e+00 1.4477750e+03 9.3492210e+02 4.0442360e+03 1.2690790e+00 3.2343132e+00
1.1751540e+00 1.6165620e+03 1.1555340e+03 4.2380520e+03 1.3380010e+00 3.2098296e+00
1.2548730e+00 1.8133930e+03 1.4260000e+03 4.4605810e+03 1.4042740e+00 3.1900388e+00
1.3400000e+00 2.0439130e+03 1.7578590e+03 4.7162730e+03 1.4396100e+00 3.1134858e+00
