p e n cs2 gamma
4.8710e-04 2.3980e-01 1.6080e-03 8.3011e-04 4.0949e-01
4.9240e-04 2.4880e-01 1.6690e-03 6.0318e-04 3.0538e-01
5.2120e-04 2.9170e-01 1.9540e-03 6.4741e-04 3.6298e-01
5.6780e-04 3.6880e-01 2.4690e-03 6.0486e-04 3.9348e-01
6.1350e-04 4.4430e-01 2.9740e-03 6.1782e-04 4.4805e-01
6.7590e-04 5.4270e-01 3.6330e-03 6.5251e-04 5.2457e-01
7.6010e-04 6.6730e-01 4.4640e-03 7.0305e-04 6.1791e-01
8.7310e-04 8.2070e-01 5.4910e-03 8.9965e-04 8.4655e-01
9.9440e-04 9.3900e-01 6.2500e-03 1.0526e-03 9.9498e-01
5.7990e-03 3.7620e+00 2.5000e-02 1.6392e-03 1.0650e+00
1.1660e-02 7.5300e+00 5.0000e-02 1.9964e-03 1.2913e+00
2.0850e-02 1.1300e+01 7.5000e-02 2.7145e-03 1.4739e+00
3.2160e-02 1.5080e+01 1.0000e-01 3.2143e-03 1.5104e+00
4.5150e-02 1.8860e+01 1.2500e-01 3.6310e-03 1.5203e+00
5.9610e-02 2.2640e+01 1.5000e-01 4.0066e-03 1.5257e+00
7.5440e-02 2.6420e+01 1.7500e-01 4.3575e-03 1.5304e+00
9.2600e-02 3.0210e+01 2.0000e-01 4.6913e-03 1.5352e+00
1.1100e-01 3.4000e+01 2.2500e-01 5.0396e-03 1.5487e+00
1.3080e-01 3.7790e+01 2.5000e-01 5.3826e-03 1.5605e+00
1.5180e-01 4.1580e+01 2.7500e-01 5.7176e-03 1.5718e+00
1.7420e-01 4.5380e+01 3.0000e-01 6.0789e-03 1.5897e+00
1.9800e-01 4.9180e+01 3.2500e-01 6.4342e-03 1.6046e+00
2.2310e-01 5.2980e+01 3.5000e-01 6.8026e-03 1.6222e+00
2.4970e-01 5.6780e+01 3.7500e-01 7.1842e-03 1.6408e+00
2.7770e-01 6.0580e+01 4.0000e-01 7.5789e-03 1.6609e+00
3.0730e-01 6.4380e+01 4.2500e-01 7.9890e-03 1.6817e+00
3.3850e-01 6.8190e+01 4.5000e-01 8.3990e-03 1.7003e+00
3.7130e-01 7.2000e+01 4.7500e-01 8.7795e-03 1.7112e+00
4.0540e-01 7.5810e+01 5.0000e-01 7.6300e-03 1.4344e+00
4.4700e-01 8.7900e+01 5.7920e-01 7.1064e-03 1.4045e+00
7.1620e-01 1.0820e+02 7.1240e-01 1.5726e-02 2.3915e+00
9.0940e-01 1.1950e+02 7.8610e-01 1.8691e-02 2.4748e+00
1.1540e+00 1.3150e+02 8.6460e-01 2.2141e-02 2.5452e+00
1.4640e+00 1.4440e+02 9.4830e-01 2.6185e-02 2.6089e+00
1.8510e+00 1.5800e+02 1.0371e+00 3.0421e-02 2.6271e+00
2.1630e+00 1.6780e+02 1.1000e+00 2.7052e-02 2.1257e+00
2.4650e+00 1.8330e+02 1.2000e+00 1.9903e-02 1.4999e+00
2.7800e+00 1.9880e+02 1.3000e+00 2.0677e-02 1.4993e+00
3.1060e+00 2.1430e+02 1.4000e+00 2.1452e-02 1.5015e+00
3.4450e+00 2.2980e+02 1.5000e+00 2.2153e-02 1.4998e+00
3.7950e+00 2.4540e+02 1.6000e+00 2.2821e-02 1.4985e+00
4.1570e+00 2.6100e+02 1.7000e+00 2.3526e-02 1.5006e+00
4.5290e+00 2.7660e+02 1.8000e+00 2.4167e-02 1.5001e+00
4.9110e+00 2.9220e+02 1.9000e+00 2.4759e-02 1.4979e+00
5.3040e+00 3.0790e+02 2.0000e+00 2.5434e-02 1.5019e+00
5.7070e+00 3.2350e+02 2.1000e+00 2.6037e-02 1.5019e+00
6.1190e+00 3.3920e+02 2.2000e+00 2.6561e-02 1.4989e+00
6.5410e+00 3.5490e+02 2.3000e+00 2.7166e-02 1.5011e+00
6.9720e+00 3.7060e+02 2.4000e+00 2.7681e-02 1.4991e+00
7.4130e+00 3.8640e+02 2.5000e+00 7.6171e-02 4.0466e+00
9.3790e+00 4.0220e+02 2.6000e+00 1.3756e-01 6.0367e+00
1.1760e+01 4.1800e+02 2.7000e+00 1.6495e-01 6.0278e+00
1.4630e+01 4.3400e+02 2.8000e+00 1.9616e-01 6.0152e+00
1.8060e+01 4.5010e+02 2.9000e+00 2.3208e-01 6.0161e+00
2.2130e+01 4.6630e+02 3.0000e+00 2.7213e-01 6.0063e+00
2.6940e+01 4.8270e+02 3.1000e+00 3.1809e-01 6.0174e+00
3.2600e+01 4.9920e+02 3.2000e+00 3.6926e-01 6.0237e+00
3.9210e+01 5.1590e+02 3.3000e+00 4.2524e-01 6.0203e+00
