e p n mu_b mu_e Gamma cs2 increasing
4.641520e-08 2.214190e-13 4.988280e-08 9.304220e+02 5.398140e-01 1.701190e+00 8.115340e-06 1.000000e+00
4.807970e-08 2.350900e-13 5.167160e-08 9.304220e+02 5.404800e-01 1.699790e+00 8.311240e-06 1.000000e+00
4.980520e-08 2.496050e-13 5.352600e-08 9.304230e+02 5.411620e-01 1.698380e+00 8.511590e-06 1.000000e+00
5.159420e-08 2.650160e-13 5.544870e-08 9.304230e+02 5.418590e-01 1.696970e+00 8.716520e-06 1.000000e+00
5.344910e-08 2.813790e-13 5.744200e-08 9.304230e+02 5.425730e-01 1.695570e+00 8.926140e-06 1.000000e+00
5.537220e-08 2.987510e-13 5.950880e-08 9.304240e+02 5.433040e-01 1.694160e+00 9.140500e-06 1.000000e+00
5.736620e-08 3.171960e-13 6.165180e-08 9.304240e+02 5.440510e-01 1.692760e+00 9.359740e-06 1.000000e+00
5.943350e-08 3.367800e-13 6.387380e-08 9.304240e+02 5.448160e-01 1.691350e+00 9.583990e-06 1.000000e+00
6.157760e-08 3.575740e-13 6.617780e-08 9.304240e+02 5.455990e-01 1.689940e+00 9.813210e-06 1.000000e+00
6.380090e-08 3.796510e-13 6.856700e-08 9.304250e+02 5.464000e-01 1.688530e+00 1.004760e-05 1.000000e+00
6.610600e-08 4.030910e-13 7.104450e-08 9.304250e+02 5.472190e-01 1.687120e+00 1.028740e-05 1.000000e+00
6.849640e-08 4.279780e-13 7.361370e-08 9.304260e+02 5.480580e-01 1.685710e+00 1.053250e-05 1.000000e+00
7.097600e-08 4.544020e-13 7.627810e-08 9.304260e+02 5.489160e-01 1.684290e+00 1.078310e-05 1.000000e+00
7.354710e-08 4.824570e-13 7.904140e-08 9.304260e+02 5.497950e-01 1.682870e+00 1.103930e-05 1.000000e+00
7.621350e-08 5.122450e-13 8.190720e-08 9.304270e+02 5.506930e-01 1.681450e+00 1.130120e-05 1.000000e+00
7.897930e-08 5.438710e-13 8.487940e-08 9.304270e+02 5.516120e-01 1.680020e+00 1.156900e-05 1.000000e+00
8.184770e-08 5.774500e-13 8.796220e-08 9.304270e+02 5.525530e-01 1.678590e+00 1.184270e-05 1.000000e+00
8.482320e-08 6.131030e-13 9.115970e-08 9.304280e+02 5.535160e-01 1.677150e+00 1.212240e-05 1.000000e+00
8.790930e-08 6.509560e-13 9.447640e-08 9.304280e+02 5.545010e-01 1.675710e+00 1.240830e-05 1.000000e+00
9.111030e-08 6.911460e-13 9.791670e-08 9.304290e+02 5.555080e-01 1.674270e+00 1.270060e-05 1.000000e+00
9.443140e-08 7.338200e-13 1.014850e-07 9.304290e+02 5.565390e-01 1.672820e+00 1.299920e-05 1.000000e+00
9.787600e-08 7.791280e-13 1.051880e-07 9.304290e+02 5.575940e-01 1.671360e+00 1.330450e-05 1.000000e+00
1.014500e-07 8.272330e-13 1.090280e-07 9.304300e+02 5.586730e-01 1.669890e+00 1.361640e-05 1.000000e+00
1.051570e-07 8.783020e-13 1.130130e-07 9.304300e+02 5.597780e-01 1.668420e+00 1.393500e-05 1.000000e+00
1.090030e-07 9.325310e-13 1.171460e-07 9.304310e+02 5.609070e-01 1.666950e+00 1.426070e-05 1.000000e+00
1.129940e-07 9.901060e-13 1.214350e-07 9.304310e+02 5.620630e-01 1.665460e+00 1.459340e-05 1.000000e+00
1.171350e-07 1.051240e-12 1.258850e-07 9.304320e+02 5.632450e-01 1.663970e+00 1.493340e-05 1.000000e+00
1.214310e-07 1.116140e-12 1.305020e-07 9.304320e+02 5.644550e-01 1.662470e+00 1.528060e-05 1.000000e+00
1.258890e-07 1.185050e-12 1.352930e-07 9.304330e+02 5.656920e-01 1.660960e+00 1.563530e-05 1.000000e+00
1.305150e-07 1.258220e-12 1.402640e-07 9.304330e+02 5.669580e-01 1.659440e+00 1.599760e-05 1.000000e+00
1.353150e-07 1.335900e-12 1.454230e-07 9.304340e+02 5.682530e-01 1.657920e+00 1.636770e-05 1.000000e+00
1.402970e-07 1.418390e-12 1.507770e-07 9.304340e+02 5.695780e-01 1.656380e+00 1.674570e-05 1.000000e+00
1.454660e-07 1.505960e-12 1.563320e-07 9.304350e+02 5.709330e-01 1.654830e+00 1.713180e-05 1.000000e+00
1.508320e-07 1.598940e-12 1.620990e-07 9.304360e+02 5.723200e-01 1.653280e+00 1.752590e-05 1.000000e+00
1.564010e-07 1.697660e-12 1.680830e-07 9.304360e+02 5.737380e-01 1.651710e+00 1.792840e-05 1.000000e+00
1.621810e-07 1.802470e-12 1.742950e-07 9.304370e+02 5.751880e-01 1.650140e+00 1.833940e-05 1.000000e+00
1.681800e-07 1.913760e-12 1.807420e-07 9.304380e+02 5.766720e-01 1.648550e+00 1.875900e-05 1.000000e+00
1.744070e-07 2.031920e-12 1.874350e-07 9.304380e+02 5.781890e-01 1.646950e+00 1.918750e-05 1.000000e+00
1.808710e-07 2.157370e-12 1.943820e-07 9.304390e+02 5.797420e-01 1.645350e+00 1.962490e-05 1.000000e+00
1.875820e-07 2.290570e-12 2.015940e-07 9.304390e+02 5.813290e-01 1.643730e+00 2.007130e-05 1.000000e+00
1.945490e-07 2.432000e-12 2.090810e-07 9.304400e+02 5.829530e-01 1.642090e+00 2.052700e-05 1.000000e+00
2.017820e-07 2.582150e-12 2.168540e-07 9.304410e+02 5.846140e-01 1.640450e+00 2.099210e-05 1.000000e+00
2.092910e-07 2.741570e-12 2.249240e-07 9.304420e+02 5.863120e-01 1.638790e+00 2.146680e-05 1.000000e+00
2.170880e-07 2.910840e-12 2.333030e-07 9.304420e+02 5.880490e-01 1.637130e+00 2.195120e-05 1.000000e+00
2.251840e-07 3.090560e-12 2.420030e-07 9.304430e+02 5.898260e-01 1.635450e+00 2.244560e-05 1.000000e+00
2.335900e-07 3.281370e-12 2.510380e-07 9.304440e+02 5.916420e-01 1.633750e+00 2.294990e-05 1.000000e+00
2.423200e-07 3.483970e-12 2.604190e-07 9.304450e+02 5.935000e-01 1.632050e+00 2.346460e-05 1.000000e+00
2.513850e-07 3.699070e-12 2.701610e-07 9.304450e+02 5.954000e-01 1.630330e+00 2.398950e-05 1.000000e+00
2.608000e-07 3.927460e-12 2.802790e-07 9.304460e+02 5.973430e-01 1.628600e+00 2.452510e-05 1.000000e+00
2.705780e-07 4.169950e-12 2.907870e-07 9.304470e+02 5.993290e-01 1.626850e+00 2.507140e-05 1.000000e+00
2.807340e-07 4.427410e-12 3.017020e-07 9.304480e+02 6.013600e-01 1.625090e+00 2.562860e-05 1.000000e+00
2.912820e-07 4.700760e-12 3.130380e-07 9.304490e+02 6.034370e-01 1.623320e+00 2.619690e-05 1.000000e+00
3.022400e-07 4.990990e-12 3.248130e-07 9.304500e+02 6.055610e-01 1.621530e+00 2.677650e-05 1.000000e+00
3.136220e-07 5.299140e-12 3.370450e-07 9.304510e+02 6.077320e-01 1.619730e+00 2.736740e-05 1.000000e+00
3.254460e-07 5.626310e-12 3.497530e-07 9.304520e+02 6.099520e-01 1.617920e+00 2.797010e-05 1.000000e+00
3.377300e-07 5.973690e-12 3.629540e-07 9.304530e+02 6.122220e-01 1.616090e+00 2.858450e-05 1.000000e+00
3.504930e-07 6.342520e-12 3.766700e-07 9.304540e+02 6.145420e-01 1.614250e+00 2.921090e-05 1.000000e+00
3.637540e-07 6.734110e-12 3.909200e-07 9.304550e+02 6.169150e-01 1.612390e+00 2.984940e-05 1.000000e+00
3.775320e-07 7.149860e-12 4.057270e-07 9.304560e+02 6.193400e-01 1.610520e+00 3.050020e-05 1.000000e+00
3.918490e-07 7.591330e-12 4.211130e-07 9.304570e+02 6.218180e-01 1.608640e+00 3.116370e-05 1.000000e+00
4.067270e-07 8.060020e-12 4.371020e-07 9.304580e+02 6.243530e-01 1.606740e+00 3.183970e-05 1.000000e+00
4.221880e-07 8.557670e-12 4.537180e-07 9.304590e+02 6.269430e-01 1.604820e+00 3.252880e-05 1.000000e+00
4.382570e-07 9.086040e-12 4.709860e-07 9.304600e+02 6.295900e-01 1.602900e+00 3.323090e-05 1.000000e+00
4.549580e-07 9.646990e-12 4.889340e-07 9.304610e+02 6.322970e-01 1.600950e+00 3.394610e-05 1.000000e+00
4.723170e-07 1.024260e-11 5.075890e-07 9.304620e+02 6.350620e-01 1.599000e+00 3.467490e-05 1.000000e+00
4.903610e-07 1.087500e-11 5.269800e-07 9.304640e+02 6.378890e-01 1.597030e+00 3.541750e-05 1.000000e+00
5.091180e-07 1.154650e-11 5.471370e-07 9.304650e+02 6.407780e-01 1.595050e+00 3.617380e-05 1.000000e+00
5.286170e-07 1.225930e-11 5.680920e-07 9.304660e+02 6.437310e-01 1.593050e+00 3.694400e-05 1.000000e+00
5.488890e-07 1.301620e-11 5.898770e-07 9.304670e+02 6.467480e-01 1.591040e+00 3.772850e-05 1.000000e+00
5.699650e-07 1.381990e-11 6.125270e-07 9.304690e+02 6.498320e-01 1.589010e+00 3.852760e-05 1.000000e+00
5.918770e-07 1.467310e-11 6.360770e-07 9.304700e+02 6.529820e-01 1.586980e+00 3.934150e-05 1.000000e+00
6.146650e-07 1.557910e-11 6.605650e-07 9.304720e+02 6.562020e-01 1.584920e+00 4.016980e-05 1.000000e+00
6.383620e-07 1.654090e-11 6.860290e-07 9.304730e+02 6.594910e-01 1.582860e+00 4.101320e-05 1.000000e+00
6.630010e-07 1.756220e-11 7.125100e-07 9.304750e+02 6.628520e-01 1.580780e+00 4.187210e-05 1.000000e+00
6.886330e-07 1.864650e-11 7.400500e-07 9.304760e+02 6.662860e-01 1.578690e+00 4.274590e-05 1.000000e+00
7.152860e-07 1.979770e-11 7.686940e-07 9.304770e+02 6.697950e-01 1.576590e+00 4.363570e-05 1.000000e+00
7.430110e-07 2.102010e-11 7.984870e-07 9.304790e+02 6.733790e-01 1.574470e+00 4.454130e-05 1.000000e+00
7.718460e-07 2.231790e-11 8.294770e-07 9.304810e+02 6.770400e-01 1.572350e+00 4.546300e-05 1.000000e+00
8.018430e-07 2.369580e-11 8.617140e-07 9.304820e+02 6.807800e-01 1.570210e+00 4.640090e-05 1.000000e+00
8.330510e-07 2.515880e-11 8.952510e-07 9.304840e+02 6.846010e-01 1.568060e+00 4.735510e-05 1.000000e+00
8.655220e-07 2.671210e-11 9.301420e-07 9.304860e+02 6.885030e-01 1.565900e+00 4.832590e-05 1.000000e+00
8.993000e-07 2.836140e-11 9.664430e-07 9.304870e+02 6.924890e-01 1.563720e+00 4.931390e-05 1.000000e+00
9.344520e-07 3.011250e-11 1.004220e-06 9.304890e+02 6.965600e-01 1.561540e+00 5.031860e-05 1.000000e+00
9.710240e-07 3.197160e-11 1.043520e-06 9.304910e+02 7.007180e-01 1.559350e+00 5.134090e-05 1.000000e+00
1.009090e-06 3.394560e-11 1.084420e-06 9.304930e+02 7.049640e-01 1.557140e+00 5.238040e-05 1.000000e+00
1.048700e-06 3.604140e-11 1.126990e-06 9.304950e+02 7.092990e-01 1.554930e+00 5.343770e-05 1.000000e+00
1.089920e-06 3.826670e-11 1.171290e-06 9.304970e+02 7.137270e-01 1.552710e+00 5.451320e-05 1.000000e+00
1.132830e-06 4.062930e-11 1.217400e-06 9.304990e+02 7.182480e-01 1.550480e+00 5.560640e-05 1.000000e+00
1.177490e-06 4.313780e-11 1.265400e-06 9.305010e+02 7.228650e-01 1.548250e+00 5.671830e-05 1.000000e+00
1.223990e-06 4.580120e-11 1.315360e-06 9.305030e+02 7.275780e-01 1.546000e+00 5.784850e-05 1.000000e+00
1.272390e-06 4.862900e-11 1.367370e-06 9.305050e+02 7.323900e-01 1.543750e+00 5.899780e-05 1.000000e+00
1.322780e-06 5.163140e-11 1.421520e-06 9.305070e+02 7.373030e-01 1.541490e+00 6.016600e-05 1.000000e+00
1.375240e-06 5.481920e-11 1.477890e-06 9.305090e+02 7.423180e-01 1.539220e+00 6.135340e-05 1.000000e+00
1.429870e-06 5.820390e-11 1.536600e-06 9.305110e+02 7.474380e-01 1.536950e+00 6.256030e-05 1.000000e+00
1.486750e-06 6.179740e-11 1.597720e-06 9.305140e+02 7.526640e-01 1.534680e+00 6.378680e-05 1.000000e+00
1.545980e-06 6.561320e-11 1.661370e-06 9.305160e+02 7.579980e-01 1.532390e+00 6.503370e-05 1.000000e+00
